permit_type,permit_num,permit_class_mapped,permit_class,work_class,condominium,project_name,description,tcad_id,issued_date,calendar_year_issued,fiscal_year_issued,status_current,expires_date,completed_date,council_district,housing_units,number_of_floors,total_job_valuation,original_zip,jurisdiction,link,project_id,master_permit_num,contractor_company_name,contractor_phone,contractor_zip,applicant_organization,applicant_phone,certificate_of_occupancy,original_address_1
BP,2003-002055 BP,Residential,R- 101 Single Family Houses,New,No,11620 Brandon Parke Trl,New Two Story Res W/Att Garage Covered Patio & Porch,R399752,2003-08-12,2003,2003,Final,2004-01-23,2004-01-23,6,NA,2,"$162,862.00",78750,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=702313,702313,229040,"Wilshire Homes, L.P.",5124853335,78759,NA,NA,Yes,11620 BRANDON PARKE TRL
BP,2003-005794 BP,Residential,R- 101 Single Family Houses,New,No,5402 South Hearsey Dr,New Two Story Res W/Att Garage Covered Porch & Uncovered Patio (S.M.A.R.T. Housing),0320062015,2003-08-28,2003,2003,Final,2003-11-14,2003-11-14,2,NA,2,"$63,655.00",78744,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=702938,702938,229835,KB Home,5126518100,78750,NA,NA,Yes,5402 SOUTH HEARSEY DR
BP,2003-008140 BP,Residential,R- 101 Single Family Houses,New,No,16504 Castletroy Dr,New One Story Res W/Att Garage Covered Patio & Porch,R411844,2003-09-19,2003,2003,Final,2003-12-11,2003-12-11,6,NA,1,"$65,275.00",78717,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=703314,703314,230331,"Milburn, Bill",5123454663,78727,NA,NA,Yes,16504 CASTLETROY DR
BP,2003-005927 BP,Residential,R- 101 Single Family Houses,New,No,13708 Merseyside Dr,New Two Story Res W/Att Garage & Covered Porch,0262300156,2003-09-04,2003,2003,Final,2003-11-19,2003-11-19,NA,NA,2,"$53,506.00",78660,AUSTIN 2 MILE ETJ,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=703000,703000,229902,KB Home,5126518100,78750,NA,NA,Yes,13708 MERSEYSIDE DR
BP,2003-007732 BP,Residential,R- 101 Single Family Houses,New,No,2107 Nogales Trl,New Two Story Res W/Att Garage Covered Porch & Uncovered Patio (S.M.A.R.T. Housing),0426031526,2003-08-25,2003,2003,Final,2003-11-07,2003-11-07,2,NA,2,"$50,400.00",78744,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=703133,703133,229644,KB Home,5126518100,78750,NA,NA,Yes,2107 NOGALES TRL
BP,2003-016211 BP,Residential,R- 101 Single Family Houses,New,No,7932 West Rim Dr,New Two Story Res W/Att Garage Covered Porch & Covered Patio & Balcony,0145050155,2003-08-14,2003,2003,Final,2004-04-08,2004-04-08,10,NA,2,"$650,000.00",78731,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=744767,744767,228911,Eppright Homes LLC,5123479959,78738,NA,NA,Yes,7932 WEST RIM DR
BP,2003-005594 BP,Residential,R- 101 Single Family Houses,New,No,1711 Kenwood Ave,New Two Story Res W/Att Garage & Covered Porch,0303020317,2003-09-02,2003,2003,Final,2004-04-01,2004-04-01,9,NA,2,"$144,840.00",78704,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=702832,702832,229712,Norman Derks Building Service,5122603989,78641,NA,NA,Yes,1711 KENWOOD AVE
BP,2003-005340 BP,Residential,R- 101 Single Family Houses,New,No,1202 Kenwood Ave,New Two Story Res W/Att Garage & Covered Porch,0301040926,2003-08-29,2003,2003,Final,2004-01-02,2004-01-02,9,NA,2,"$162,869.00",78704,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=702725,702725,229580,Monreal Homes Corp,5123012488,78736,NA,NA,Yes,1202 KENWOOD AVE
BP,2003-001822 BP,Residential,R- 101 Single Family Houses,New,No,9616 Morgan Creek Dr,New One Story Res W/Att Garage Covered Patio & Porch,R424438,2003-08-06,2003,2003,Final,2003-10-24,2003-10-24,6,NA,1,"$132,000.00",78717,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=702230,702230,228900,Ryland Homes,5123437009,78759,NA,NA,Yes,9616 MORGAN CREEK DR
BP,2003-011520 BP,Residential,R- 101 Single Family Houses,New,No,11624 Georgian Oaks Dr,New Two Story Res W/Att Garage Covered Patio & Porch,0426500501,2003-08-27,2003,2003,Final,2004-01-21,2004-01-21,8,NA,2,"$123,725.00",78739,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=745785,745785,229105,Newmark Homes LLC,5123455147,78734,NA,NA,Yes,11624 GEORGIAN OAKS DR
BP,2003-008915 BP,Residential,R- 101 Single Family Houses,New,No,11608 Spicewood Pkwy Unit 14,New Two Story Res W/Att Garage & Porch,0172191201,2003-08-20,2003,2003,Final,2004-03-30,2004-03-30,6,NA,2,"$164,598.00",78750,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=706587,706587,229226,"Drees Custom Homes, L.P.",5122417133,78726,NA,NA,Yes,11608 SPICEWOOD PKWY UNIT 14
BP,2003-005715 BP,Residential,R- 101 Single Family Houses,New,No,11600 Larch Valley Dr,New One Story Res W/Att Garage Covered Porch & Covered Patio,0247300102,2003-08-26,2003,2003,Final,2003-12-22,2003-12-22,1,NA,1,"$73,895.00",78754,AUSTIN FULL PURPOSE,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=702897,702897,229520,Newmark Homes LLC,5123455147,78734,NA,NA,Yes,11600 LARCH VALLEY DR
BP,2003-002065 BP,Residential,R- 101 Single Family Houses,New,No,9815 Westminster Glen Ave,New Two Story Res W/Att Garage Breezeway Porches & Balconies,0141300412,2003-08-13,2003,2003,Final,2004-04-21,2004-04-21,10,NA,NA,"$600,000.00",78730,AUSTIN LTD,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=702316,702316,229043,Stadler Custom Homes,5122630312,78734,NA,NA,Yes,9815 WESTMINSTER GLEN AVE
