calendar_year_issued,original_zip,permit_type,n
2002,78724,BP,15
2002,78726,BP,64
2002,78727,BP,53
2002,78729,BP,18
2002,78730,BP,36
2002,78731,BP,32
2002,78732,BP,16
2002,78733,BP,7
2002,78734,BP,2
2002,78735,BP,64
2002,78736,BP,43
2002,78737,BP,20
2002,78739,BP,252
2002,78741,BP,101
2002,78742,BP,2
2002,78744,BP,49
2002,78745,BP,67
2002,78746,BP,19
2002,78747,BP,140
2002,78748,BP,267
2002,78749,BP,112
2002,78750,BP,112
2002,78751,BP,28
2002,78752,BP,26
2002,78753,BP,14
2002,78754,BP,192
2002,78756,BP,11
2002,78757,BP,6
2002,78758,BP,2
2002,78759,BP,97
2003,78617,BP,63
2003,78660,BP,52
2003,78701,BP,1
2003,78702,BP,75
2003,78703,BP,38
2003,78704,BP,74
2003,78705,BP,15
2003,78717,BP,571
2003,78721,BP,55
2003,78722,BP,12
2003,78723,BP,28
2003,78724,BP,90
2003,78726,BP,70
2003,78727,BP,139
2003,78730,BP,20
2003,78731,BP,38
2003,78732,BP,23
2003,78733,BP,13
2003,78734,BP,2
2003,78735,BP,94
2003,78736,BP,62
2003,78737,BP,18
2003,78739,BP,394
2003,78741,BP,36
2003,78744,BP,159
2003,78745,BP,81
2003,78746,BP,17
2003,78747,BP,133
2003,78748,BP,464
2003,78749,BP,108
2003,78750,BP,99
2003,78751,BP,44
2003,78752,BP,9
2003,78753,BP,6
2003,78754,BP,169
2003,78756,BP,11
2003,78757,BP,5
2003,78758,BP,7
2003,78759,BP,35
2004,78617,BP,135
2004,78660,BP,17
2004,78701,BP,3
2004,78702,BP,78
2004,78703,BP,50
2004,78704,BP,121
2004,78705,BP,14
2004,78717,BP,496
2004,78721,BP,37
2004,78722,BP,8
2004,78723,BP,24
2004,78724,BP,129
2004,78726,BP,79
2004,78727,BP,81
2004,78730,BP,22
2004,78731,BP,39
2004,78732,BP,21
2004,78733,BP,8
2004,78734,BP,1
2004,78735,BP,132
2004,78736,BP,46
2004,78737,BP,3
2004,78739,BP,345
2004,78741,BP,43
2004,78744,BP,368
2004,78745,BP,181
2004,78746,BP,45
2004,78747,BP,250
2004,78748,BP,509
2004,78749,BP,161
2004,78750,BP,26
2004,78751,BP,36
2004,78752,BP,30
2004,78753,BP,15
2004,78754,BP,163
2004,78756,BP,24
2004,78757,BP,8
2004,78758,BP,6
2004,78759,BP,21
2004,NA,BP,1
2005,78617,BP,288
2005,78660,BP,1
2005,78702,BP,115
2005,78703,BP,91
2005,78704,BP,114
2005,78705,BP,11
2005,78717,BP,584
2005,78721,BP,120
2005,78722,BP,4
2005,78723,BP,18
2005,78724,BP,50
2005,78725,BP,1
2005,78726,BP,116
2005,78727,BP,34
2005,78728,BP,3
2005,78729,BP,1
2005,78730,BP,61
2005,78731,BP,27
2005,78732,BP,26
2005,78733,BP,27
2005,78734,BP,2
2005,78735,BP,164
2005,78736,BP,104
2005,78739,BP,448
2005,78741,BP,107
2005,78744,BP,332
2005,78745,BP,272
2005,78746,BP,52
2005,78747,BP,386
2005,78748,BP,470
2005,78749,BP,209
2005,78750,BP,30
2005,78751,BP,57
2005,78752,BP,31
2005,78753,BP,15
2005,78754,BP,497
2005,78756,BP,18
2005,78757,BP,9
2005,78758,BP,3
2005,78759,BP,14
2006,78617,BP,270
2006,78653,BP,6
2006,78701,BP,1
2006,78702,BP,108
2006,78703,BP,93
2006,78704,BP,121
2006,78705,BP,10
2006,78717,BP,528
2006,78721,BP,87
2006,78722,BP,12
2006,78723,BP,108
2006,78724,BP,159
2006,78726,BP,21
2006,78727,BP,10
2006,78730,BP,43
2006,78731,BP,36
2006,78732,BP,35
2006,78733,BP,33
2006,78734,BP,4
2006,78735,BP,165
2006,78736,BP,70
2006,78739,BP,467
2006,78741,BP,202
2006,78744,BP,346
2006,78745,BP,41
2006,78746,BP,84
2006,78747,BP,397
2006,78748,BP,583
2006,78749,BP,73
2006,78750,BP,27
2006,78751,BP,42
2006,78752,BP,22
2006,78753,BP,41
2006,78754,BP,435
2006,78756,BP,34
2006,78757,BP,7
2006,78758,BP,27
2006,78759,BP,8
2007,78617,BP,179
2007,78641,BP,1
2007,78653,BP,1
2007,78660,BP,15
2007,78701,BP,1
2007,78702,BP,136
2007,78703,BP,58
2007,78704,BP,121
2007,78705,BP,13
2007,78717,BP,313
2007,78721,BP,26
2007,78722,BP,8
2007,78723,BP,304
2007,78724,BP,162
2007,78726,BP,5
2007,78727,BP,35
2007,78730,BP,45
2007,78731,BP,35
2007,78732,BP,22
2007,78733,BP,37
2007,78734,BP,4
2007,78735,BP,129
2007,78736,BP,16
2007,78739,BP,315
2007,78741,BP,127
2007,78742,BP,1
2007,78744,BP,185
2007,78745,BP,109
2007,78746,BP,35
2007,78747,BP,271
2007,78748,BP,384
2007,78749,BP,2
2007,78750,BP,226
2007,78751,BP,37
2007,78752,BP,5
2007,78753,BP,14
2007,78754,BP,351
2007,78756,BP,33
2007,78757,BP,20
2007,78758,BP,22
2007,78759,BP,1
2007,NA,BP,1
2008,78617,BP,124
2008,78660,BP,74
2008,78701,BP,1
2008,78702,BP,86
2008,78703,BP,54
2008,78704,BP,92
2008,78705,BP,12
2008,78717,BP,136
2008,78721,BP,26
2008,78722,BP,5
2008,78723,BP,327
2008,78724,BP,118
2008,78726,BP,78
2008,78727,BP,31
2008,78730,BP,17
2008,78731,BP,22
2008,78732,BP,12
2008,78733,BP,64
2008,78735,BP,51
2008,78736,BP,6
2008,78739,BP,221
2008,78741,BP,46
2008,78742,BP,1
2008,78744,BP,93
2008,78745,BP,133
2008,78746,BP,12
2008,78747,BP,139
2008,78748,BP,570
2008,78749,BP,1
2008,78750,BP,6
2008,78751,BP,29
2008,78752,BP,7
2008,78753,BP,10
2008,78754,BP,171
2008,78756,BP,21
2008,78757,BP,24
2008,78758,BP,14
2008,78759,BP,15
2009,78617,BP,182
2009,78652,BP,64
2009,78660,BP,58
2009,78702,BP,32
2009,78703,BP,30
2009,78704,BP,70
2009,78705,BP,8
2009,78717,BP,86
2009,78721,BP,17
2009,78722,BP,3
2009,78723,BP,141
2009,78724,BP,89
2009,78725,BP,17
2009,78726,BP,5
2009,78727,BP,19
2009,78730,BP,7
2009,78731,BP,17
2009,78732,BP,12
2009,78733,BP,32
2009,78735,BP,27
2009,78736,BP,3
2009,78739,BP,131
2009,78741,BP,15
2009,78742,BP,1
2009,78744,BP,51
2009,78745,BP,91
2009,78746,BP,15
2009,78747,BP,202
2009,78748,BP,390
2009,78750,BP,85
2009,78751,BP,13
2009,78752,BP,7
2009,78753,BP,4
2009,78754,BP,140
2009,78756,BP,9
2009,78757,BP,4
2009,78758,BP,5
2009,78759,BP,9
2010,78617,BP,89
2010,78652,BP,36
2010,78660,BP,33
2010,78702,BP,45
2010,78703,BP,35
2010,78704,BP,67
2010,78705,BP,8
2010,78717,BP,84
2010,78721,BP,12
2010,78722,BP,1
2010,78723,BP,50
2010,78724,BP,32
2010,78725,BP,22
2010,78726,BP,17
2010,78727,BP,13
2010,78729,BP,9
2010,78730,BP,13
2010,78731,BP,14
2010,78732,BP,11
2010,78733,BP,28
2010,78734,BP,2
2010,78735,BP,51
2010,78736,BP,4
2010,78739,BP,118
2010,78741,BP,34
2010,78742,BP,2
2010,78744,BP,69
2010,78745,BP,164
2010,78746,BP,15
2010,78747,BP,128
2010,78748,BP,344
2010,78750,BP,4
2010,78751,BP,16
2010,78752,BP,8
2010,78753,BP,3
2010,78754,BP,90
2010,78756,BP,23
2010,78757,BP,13
2010,78758,BP,2
2010,78759,BP,8
2011,78617,BP,53
2011,78652,BP,36
2011,78660,BP,30
2011,78702,BP,69
2011,78703,BP,49
2011,78704,BP,120
2011,78705,BP,18
2011,78717,BP,47
2011,78721,BP,15
2011,78722,BP,4
2011,78723,BP,63
2011,78724,BP,74
2011,78725,BP,25
2011,78726,BP,30
2011,78727,BP,1
2011,78729,BP,45
2011,78730,BP,19
2011,78731,BP,21
2011,78732,BP,12
2011,78733,BP,15
2011,78734,BP,4
2011,78735,BP,60
2011,78736,BP,4
2011,78737,BP,2
2011,78739,BP,121
2011,78741,BP,21
2011,78744,BP,41
2011,78745,BP,66
2011,78746,BP,12
2011,78747,BP,119
2011,78748,BP,254
2011,78749,BP,3
2011,78750,BP,31
2011,78751,BP,11
2011,78752,BP,4
2011,78753,BP,12
2011,78754,BP,132
2011,78756,BP,19
2011,78757,BP,19
2011,78758,BP,4
2011,78759,BP,10
2012,78617,BP,97
2012,78660,BP,7
2012,78702,BP,89
2012,78703,BP,61
2012,78704,BP,141
2012,78705,BP,11
2012,78717,BP,110
2012,78721,BP,21
2012,78722,BP,7
2012,78723,BP,81
2012,78724,BP,51
2012,78725,BP,53
2012,78726,BP,70
2012,78727,BP,4
2012,78729,BP,44
2012,78730,BP,20
2012,78731,BP,25
2012,78732,BP,13
2012,78733,BP,1
2012,78735,BP,47
2012,78736,BP,7
2012,78737,BP,1
2012,78739,BP,137
2012,78741,BP,90
2012,78744,BP,67
2012,78745,BP,104
2012,78746,BP,18
2012,78747,BP,187
2012,78748,BP,439
2012,78749,BP,2
2012,78750,BP,93
2012,78751,BP,32
2012,78752,BP,2
2012,78753,BP,44
2012,78754,BP,175
2012,78756,BP,21
2012,78757,BP,23
2012,78758,BP,18
2012,78759,BP,46
2013,78613,BP,7
2013,78617,BP,68
2013,78660,BP,52
2013,78701,BP,1
2013,78702,BP,183
2013,78703,BP,65
2013,78704,BP,138
2013,78705,BP,12
2013,78717,BP,216
2013,78721,BP,42
2013,78722,BP,14
2013,78723,BP,145
2013,78724,BP,104
2013,78725,BP,32
2013,78726,BP,49
2013,78727,BP,1
2013,78729,BP,20
2013,78730,BP,32
2013,78731,BP,39
2013,78732,BP,8
2013,78733,BP,7
2013,78734,BP,3
2013,78735,BP,2
2013,78736,BP,2
2013,78739,BP,131
2013,78741,BP,84
2013,78742,BP,1
2013,78744,BP,101
2013,78745,BP,82
2013,78746,BP,26
2013,78747,BP,210
2013,78748,BP,296
2013,78749,BP,28
2013,78750,BP,63
2013,78751,BP,41
2013,78752,BP,7
2013,78753,BP,56
2013,78754,BP,241
2013,78756,BP,20
2013,78757,BP,108
2013,78758,BP,14
2013,78759,BP,13
2014,78617,BP,12
2014,78652,BP,5
2014,78660,BP,34
2014,78701,BP,1
2014,78702,BP,186
2014,78703,BP,75
2014,78704,BP,159
2014,78705,BP,18
2014,78717,BP,249
2014,78721,BP,54
2014,78722,BP,12
2014,78723,BP,159
2014,78724,BP,115
2014,78725,BP,26
2014,78726,BP,74
2014,78727,BP,8
2014,78729,BP,27
2014,78730,BP,24
2014,78731,BP,46
2014,78732,BP,18
2014,78733,BP,3
2014,78734,BP,4
2014,78735,BP,8
2014,78736,BP,3
2014,78739,BP,181
2014,78741,BP,124
2014,78744,BP,68
2014,78745,BP,104
2014,78746,BP,38
2014,78747,BP,267
2014,78748,BP,234
2014,78749,BP,3
2014,78750,BP,2
2014,78751,BP,36
2014,78752,BP,11
2014,78753,BP,94
2014,78754,BP,245
2014,78756,BP,34
2014,78757,BP,170
2014,78758,BP,9
2014,78759,BP,3
2015,78617,BP,48
2015,78652,BP,14
2015,78660,BP,48
2015,78701,BP,1
2015,78702,BP,232
2015,78703,BP,74
2015,78704,BP,216
2015,78705,BP,11
2015,78717,BP,275
2015,78721,BP,63
2015,78722,BP,14
2015,78723,BP,215
2015,78724,BP,71
2015,78725,BP,44
2015,78726,BP,79
2015,78727,BP,10
2015,78729,BP,13
2015,78730,BP,23
2015,78731,BP,37
2015,78732,BP,22
2015,78733,BP,2
2015,78734,BP,1
2015,78735,BP,1
2015,78736,BP,16
2015,78739,BP,173
2015,78741,BP,121
2015,78742,BP,1
2015,78744,BP,173
2015,78745,BP,244
2015,78746,BP,28
2015,78747,BP,82
2015,78748,BP,167
2015,78749,BP,4
2015,78750,BP,13
2015,78751,BP,55
2015,78752,BP,30
2015,78753,BP,79
2015,78754,BP,178
2015,78756,BP,29
2015,78757,BP,116
2015,78758,BP,5
2015,78759,BP,21
2016,78617,BP,116
2016,78652,BP,42
2016,78653,BP,24
2016,78660,BP,249
2016,78701,BP,1
2016,78702,BP,243
2016,78703,BP,66
2016,78704,BP,175
2016,78705,BP,15
2016,78717,BP,351
2016,78721,BP,71
2016,78722,BP,24
2016,78723,BP,227
2016,78724,BP,53
2016,78725,BP,36
2016,78726,BP,58
2016,78727,BP,68
2016,78729,BP,9
2016,78730,BP,11
2016,78731,BP,29
2016,78732,BP,38
2016,78733,BP,5
2016,78734,BP,1
2016,78735,BP,2
2016,78736,BP,12
2016,78739,BP,116
2016,78741,BP,156
2016,78744,BP,465
2016,78745,BP,166
2016,78746,BP,41
2016,78747,BP,179
2016,78748,BP,213
2016,78749,BP,17
2016,78750,BP,13
2016,78751,BP,34
2016,78752,BP,30
2016,78753,BP,141
2016,78754,BP,266
2016,78756,BP,26
2016,78757,BP,174
2016,78758,BP,10
2016,78759,BP,21
2017,78613,BP,1
2017,78617,BP,24
2017,78652,BP,68
2017,78653,BP,41
2017,78660,BP,322
2017,78702,BP,245
2017,78703,BP,52
2017,78704,BP,242
2017,78705,BP,14
2017,78717,BP,436
2017,78721,BP,128
2017,78722,BP,37
2017,78723,BP,268
2017,78724,BP,118
2017,78726,BP,28
2017,78727,BP,22
2017,78730,BP,9
2017,78731,BP,36
2017,78732,BP,32
2017,78733,BP,2
2017,78734,BP,1
2017,78735,BP,55
2017,78736,BP,41
2017,78739,BP,115
2017,78741,BP,258
2017,78742,BP,4
2017,78744,BP,380
2017,78745,BP,119
2017,78746,BP,33
2017,78747,BP,322
2017,78748,BP,300
2017,78749,BP,18
2017,78750,BP,2
2017,78751,BP,53
2017,78752,BP,39
2017,78753,BP,89
2017,78754,BP,265
2017,78756,BP,34
2017,78757,BP,57
2017,78758,BP,5
2017,78759,BP,10
2018,78617,BP,87
2018,78652,BP,78
2018,78653,BP,45
2018,78660,BP,429
2018,78701,BP,1
2018,78702,BP,239
2018,78703,BP,66
2018,78704,BP,219
2018,78705,BP,11
2018,78717,BP,290
2018,78721,BP,129
2018,78722,BP,25
2018,78723,BP,188
2018,78724,BP,132
2018,78725,BP,1
2018,78726,BP,42
2018,78727,BP,19
2018,78729,BP,40
2018,78730,BP,7
2018,78731,BP,66
2018,78732,BP,29
2018,78733,BP,3
2018,78735,BP,77
2018,78736,BP,30
2018,78739,BP,73
2018,78741,BP,133
2018,78744,BP,346
2018,78745,BP,86
2018,78746,BP,29
2018,78747,BP,286
2018,78748,BP,338
2018,78749,BP,5
2018,78750,BP,2
2018,78751,BP,32
2018,78752,BP,35
2018,78753,BP,4
2018,78754,BP,459
2018,78756,BP,33
2018,78757,BP,71
2018,78758,BP,1
2018,78759,BP,9
2019,78617,BP,66
2019,78652,BP,41
2019,78653,BP,64
2019,78660,BP,368
2019,78702,BP,186
2019,78703,BP,72
2019,78704,BP,211
2019,78705,BP,35
2019,78717,BP,312
2019,78721,BP,126
2019,78722,BP,23
2019,78723,BP,223
2019,78724,BP,273
2019,78725,BP,1
2019,78726,BP,37
2019,78727,BP,2
2019,78730,BP,4
2019,78731,BP,101
2019,78732,BP,36
2019,78733,BP,1
2019,78735,BP,29
2019,78736,BP,26
2019,78739,BP,52
2019,78741,BP,99
2019,78742,BP,1
2019,78744,BP,587
2019,78745,BP,158
2019,78746,BP,22
2019,78747,BP,318
2019,78748,BP,154
2019,78749,BP,2
2019,78750,BP,3
2019,78751,BP,39
2019,78752,BP,48
2019,78753,BP,48
2019,78754,BP,532
2019,78756,BP,31
2019,78757,BP,124
2019,78758,BP,8
2019,78759,BP,3
2020,78617,BP,106
2020,78652,BP,71
2020,78653,BP,91
2020,78660,BP,412
2020,78701,BP,1
2020,78702,BP,172
2020,78703,BP,44
2020,78704,BP,204
2020,78705,BP,1
2020,78717,BP,105
2020,78721,BP,137
2020,78722,BP,24
2020,78723,BP,277
2020,78724,BP,396
2020,78725,BP,2
2020,78726,BP,29
2020,78727,BP,13
2020,78730,BP,9
2020,78731,BP,90
2020,78732,BP,24
2020,78733,BP,1
2020,78734,BP,1
2020,78735,BP,26
2020,78736,BP,1
2020,78739,BP,15
2020,78741,BP,75
2020,78744,BP,631
2020,78745,BP,108
2020,78746,BP,14
2020,78747,BP,371
2020,78748,BP,104
2020,78749,BP,1
2020,78750,BP,13
2020,78751,BP,41
2020,78752,BP,52
2020,78753,BP,36
2020,78754,BP,227
2020,78756,BP,31
2020,78757,BP,87
2020,78758,BP,32
2020,78759,BP,1
2021,78617,BP,175
2021,78652,BP,147
2021,78653,BP,236
2021,78660,BP,323
2021,78702,BP,187
2021,78703,BP,70
2021,78704,BP,209
2021,78705,BP,20
2021,78717,BP,55
2021,78721,BP,124
2021,78722,BP,27
2021,78723,BP,396
2021,78724,BP,333
2021,78726,BP,69
2021,78727,BP,2
2021,78730,BP,4
2021,78731,BP,135
2021,78732,BP,17
2021,78733,BP,3
2021,78734,BP,1
2021,78735,BP,14
2021,78739,BP,12
2021,78741,BP,66
2021,78742,BP,3
2021,78744,BP,497
2021,78745,BP,133
2021,78746,BP,48
2021,78747,BP,266
2021,78748,BP,112
2021,78749,BP,21
2021,78750,BP,5
2021,78751,BP,38
2021,78752,BP,51
2021,78753,BP,4
2021,78754,BP,246
2021,78756,BP,43
2021,78757,BP,103
2021,78758,BP,4
2021,78759,BP,6
2022,78617,BP,128
2022,78652,BP,4
2022,78653,BP,355
2022,78660,BP,34
2022,78702,BP,156
2022,78703,BP,64
2022,78704,BP,243
2022,78705,BP,1
2022,78717,BP,2
2022,78721,BP,111
2022,78722,BP,20
2022,78723,BP,315
2022,78724,BP,131
2022,78726,BP,3
2022,78727,BP,4
2022,78730,BP,9
2022,78731,BP,58
2022,78732,BP,7
2022,78733,BP,2
2022,78734,BP,2
2022,78735,BP,2
2022,78736,BP,3
2022,78741,BP,72
2022,78742,BP,4
2022,78744,BP,601
2022,78745,BP,142
2022,78746,BP,60
2022,78747,BP,231
2022,78748,BP,70
2022,78749,BP,3
2022,78750,BP,3
2022,78751,BP,38
2022,78752,BP,62
2022,78753,BP,12
2022,78754,BP,190
2022,78756,BP,38
2022,78757,BP,164
2022,78758,BP,9
2022,78759,BP,5
2023,78617,BP,56
2023,78652,BP,3
2023,78653,BP,117
2023,78660,BP,53
2023,78702,BP,133
2023,78703,BP,42
2023,78704,BP,145
2023,78705,BP,5
2023,78721,BP,85
2023,78722,BP,20
2023,78723,BP,168
2023,78724,BP,10
2023,78727,BP,4
2023,78729,BP,3
2023,78730,BP,15
2023,78731,BP,37
2023,78732,BP,8
2023,78733,BP,1
2023,78734,BP,1
2023,78735,BP,11
2023,78736,BP,33
2023,78739,BP,1
2023,78741,BP,85
2023,78744,BP,245
2023,78745,BP,135
2023,78746,BP,32
2023,78747,BP,182
2023,78748,BP,58
2023,78749,BP,5
2023,78750,BP,1
2023,78751,BP,42
2023,78752,BP,43
2023,78753,BP,15
2023,78754,BP,14
2023,78756,BP,24
2023,78757,BP,78
2023,78758,BP,15
2023,78759,BP,11
2024,78617,BP,79
2024,78653,BP,161
2024,78660,BP,5
2024,78702,BP,117
2024,78703,BP,52
2024,78704,BP,130
2024,78705,BP,8
2024,78721,BP,75
2024,78722,BP,19
2024,78723,BP,124
2024,78724,BP,11
2024,78727,BP,1
2024,78729,BP,5
2024,78730,BP,28
2024,78731,BP,33
2024,78732,BP,14
2024,78733,BP,1
2024,78734,BP,2
2024,78735,BP,1
2024,78736,BP,16
2024,78741,BP,61
2024,78742,BP,1
2024,78744,BP,476
2024,78745,BP,142
2024,78746,BP,18
2024,78747,BP,132
2024,78748,BP,39
2024,78749,BP,2
2024,78750,BP,2
2024,78751,BP,60
2024,78752,BP,13
2024,78753,BP,8
2024,78756,BP,22
2024,78757,BP,61
2024,78758,BP,82
2024,78759,BP,8
2025,78617,BP,77
2025,78652,BP,31
2025,78653,BP,67
2025,78660,BP,1
2025,78702,BP,179
2025,78703,BP,62
2025,78704,BP,145
2025,78705,BP,19
2025,78717,BP,1
2025,78721,BP,122
2025,78722,BP,26
2025,78723,BP,32
2025,78724,BP,70
2025,78727,BP,10
2025,78730,BP,21
2025,78731,BP,48
2025,78732,BP,7
2025,78733,BP,1
2025,78734,BP,1
2025,78735,BP,3
2025,78736,BP,141
2025,78741,BP,39
2025,78742,BP,1
2025,78744,BP,418
2025,78745,BP,130
2025,78746,BP,18
2025,78747,BP,156
2025,78748,BP,64
2025,78749,BP,4
2025,78750,BP,18
2025,78751,BP,36
2025,78752,BP,23
2025,78753,BP,6
2025,78754,BP,215
2025,78756,BP,28
2025,78757,BP,121
2025,78758,BP,25
2025,78759,BP,11
2026,78617,BP,65
2026,78652,BP,27
2026,78653,BP,54
2026,78702,BP,44
2026,78703,BP,31
2026,78704,BP,54
2026,78705,BP,10
2026,78721,BP,46
2026,78722,BP,9
2026,78723,BP,32
2026,78724,BP,24
2026,78725,BP,1
2026,78726,BP,2
2026,78729,BP,1
2026,78730,BP,9
2026,78731,BP,35
2026,78732,BP,3
2026,78733,BP,1
2026,78734,BP,1
2026,78735,BP,2
2026,78736,BP,1
2026,78739,BP,1
2026,78741,BP,11
2026,78742,BP,1
2026,78744,BP,188
2026,78745,BP,103
2026,78746,BP,18
2026,78747,BP,104
2026,78748,BP,18
2026,78750,BP,9
2026,78751,BP,18
2026,78752,BP,11
2026,78753,BP,4
2026,78754,BP,35
2026,78756,BP,9
2026,78757,BP,36
2026,78758,BP,9
2026,78759,BP,4
