project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country
21 SCOTT CRES UNIT B,21 Scott Cres Unit B: New duplex unit 1 bathroom 1 bedroom.,2026-02-06,1,2,21 SCOTT CRES UNIT B,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13650986,21 SCOTT CRES UNIT B,NA,Austin,Texas,United States
5901 JORGE GUERRA ST,New Construction two-unit residential 3-story duplex: 3 bedroom 3 bath covered front porch and covered rear porch.,2025-12-31,1,3,5901 JORGE GUERRA ST,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13479706,5901 JORGE GUERRA STREET,NA,Austin,Texas,United States
5001 PECAN SPRINGS RD BLDG 6,New construction of 3 story SFR Condo with 2 car garage covered patio and 2nd floor balcony,2026-01-27,1,3,5001 PECAN SPRINGS RD BLDG 6,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13644816,5001 PECAN SPRINGS ROAD BLDG 6,NA,Austin,Texas,United States
5156 VILLAGE SQUARE DR BLDG 8,Bldg. 8 - Unit C - 3 bed 1.5 bath - New construction of 2 story 4 unit Townhomes,2026-01-05,1,2,5156 VILLAGE SQUARE DR BLDG 8,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13618544,5156 VILLAGE SQUARE DRIVE BLDG 8,NA,Austin,Texas,United States
1501 GARNER AVE BLDG 1,Building 1 2870 sf 2 story single family residence. 3 Bdrm 3.5 Bath pool and spa. Detached 2 car garage with 503 sf one bedroom one bath residence on the second floor,2026-01-09,1,2,1501 GARNER AVE BLDG 1,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13637459,1501 GARNER AVE BLDG 1,NA,Austin,Texas,United States
1508 WILLOW ST--BLDG 2,Bldg #2 New 2-story dwelling unit 1 bed/2 bath with storage covered patio and deck,2026-02-05,1,2,1508 WILLOW ST BLDG 2,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13650041,1508 WILLOW STREET BLDG 2,NA,Austin,Texas,United States
10204 CURB STRAP DR,"New construction of 1 story SFR with 5 beds 2 baths attached garage covered porch and patio

PUD

Revision:
Plan revision to change the house plan from an X35CM to a T35CM",2025-11-26,1,1,10204 CURB STRAP DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13518550,10204 CURB STRAP DRIVE,NA,Austin,Texas,United States
1100 S 5TH ST,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 5bath] with Habitable attic and basement Attached Carport,2025-11-25,1,2,1100 S 5TH ST,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13620448,1100 SOUTH 5TH STREET,NA,Austin,Texas,United States
5001 WESTVIEW DR,ePlan: Residential Expedited Review - New construction of a 2 story single family residence 4 bedroom 4.5 bathroom covered patio & uncovered wood deck  attached 2-car garage.,2025-12-23,1,2,5001 WESTVIEW DR,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13632510,5001 WESTVIEW DRIVE,NA,Austin,Texas,United States
3103 GARWOOD ST--BLDG 2,"ePlan: Residential Expedited Review - New THREE UNIT RES.
Bldg 2 New construction of a 2-Story Single Family Res. [3bed 2.5bath] with Attached Garage",2025-11-13,1,2,3103 GARWOOD ST BLDG 2,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13612708,3103 GARWOOD STREET BLDG 2,NA,Austin,Texas,United States
1307 SWEET BARK ST,New construction of a 2-story single family dwelling in a condo regime. 3 BEDROOM 2.5 BATH ATTACHED GARAGE,2025-12-11,1,2,1307 SWEET BARK ST,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13626399,1307 SWEET BARK STREET,NA,Austin,Texas,United States
709 W MONROE ST,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 3.5bath] with Habitable Attic Attached Carport and Autofill/Heated pool,2025-12-04,1,2,709 W MONROE ST,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13580473,709 WEST MONROE STREET,NA,Austin,Texas,United States
7817 W SH 71 BLDG 10,ePlan: Expedited Review - New Construction of Multi Family Townhouse Building.,2025-12-11,3,2,7817 W SH 71 BLDG 10,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13626099,7817 WEST SH 71 BLDG 10,NA,Austin,Texas,United States
3103 GARWOOD ST--BLDG 1,"ePlan: Residential Expedited Review - New THREE UNIT RES.
Bldg 1 New construction of a 2-Story Single Family Res. [3bed 3.5bath] with Attached Garage",2025-11-13,1,2,3103 GARWOOD ST BLDG 1,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13612707,3103 GARWOOD STREET BLDG 1,NA,Austin,Texas,United States
1300 MC KIE DR BLDG 2,Building 2 Unit 21 & 22. New 2-story condominium duplex residence to have 5 bedrooms 5 bathrooms attached garage covered front porch and rear covered patio.,2025-11-19,2,2,1300 MC KIE DR BLDG 2,78752,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12352398,1300 MC KIE DRIVE BLDG 2,NA,Austin,Texas,United States
1301 SWEET BARK ST,New constuction of a 2-story single family dwelling in a condo regime. 3 bedroom 2.5 bath extended covered patio attached 2-car garage,2025-12-23,1,2,1301 SWEET BARK ST,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13632342,1301 SWEET BARK STREET,NA,Austin,Texas,United States
308 BEN HOWELL DR,ePlan: Residential Expedited Review - 308 Ben Howell Dr:  New 2-story residence w/ 1-car carport  3 bed 3.5 bath.  Part of 2-unit use.,2025-12-09,1,2,308 BEN HOWELL DR,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13617950,308 BEN HOWELL DRIVE,NA,Austin,Texas,United States
6300 BRISTOL CIR,ePlan: Residential Expedited Review - New construction of an 2-Story Single-Family Res. [4bed 4bath]  with attached Garage,2025-11-16,1,2,6300 BRISTOL CIR,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13454443,6300 BRISTOL CIR,NA,Austin,Texas,United States
1813 E 38TH HALF ST--BLDG 2,Bldg 2:  New construction 3-unit use single-family residential  3-story 3 bedroom 2.5 bath with attached 1-car carport covered front porch covered rear patio 3rd floor balcony and uncovered roof top deck.,2025-11-26,1,3,1813 E 38TH HALF ST BLDG 2,78722,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13620044,1813 EAST 38TH HALF STREET BLDG 2,NA,Austin,Texas,United States
11628 LADERA VISTA DR,11626 Ladera Vista Dr: New 2-story detached residence 3 bedroom 2.5 bath 1-car garage.,2025-12-11,1,2,11628 LADERA VISTA DR,78759,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13626279,11628 LADERA VISTA DRIVE,NA,Austin,Texas,United States
4007 BUNNY RUN BLDG 2,New construction of single story 2nd dwelling unit containing 2 bedrooms 3 bathrooms w/ attached garage and covered front porch. New driveway connecting to existing driveway within property.,2025-12-09,1,1,4007 BUNNY RUN BLDG 2,78746,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13617345,4007 BUNNY RUN BLDG 2,NA,Austin,Texas,United States
10201 CRESSIDA BND,New construction of SFR Condo with 5 or 6 bed option 5.5 baths covered patio covered porch and covered front deck balcony 3 car attached tandem garage,2025-11-26,1,2,10201 CRESSIDA BND,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13620277,10201 CRESSIDA BND,NA,Austin,Texas,United States
3203 CLAWSON RD BLDG 2,new construction of 1-story SFR 2 beds 1.5 baths to rear of existing SFR,2025-11-19,1,1,3203 CLAWSON RD BLDG 2,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13616350,3203 CLAWSON ROAD BLDG 2,NA,Austin,Texas,United States
3103 GARWOOD ST--BLDG 3,"ePlan: Residential Expedited Review - New THREE UNIT RES.
Bldg 3 New construction of a 2-Story Single Family Res. [3bed 2.5bath] with Attached Garage",2025-11-13,1,2,3103 GARWOOD ST BLDG 3,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13612710,3103 GARWOOD STREET BLDG 3,NA,Austin,Texas,United States
3706 1/2 OAKMONT BLVD,3706 1/2 Oakmont Blvd: New 2-story residence with 2-car garage & second floor studio garage apartment 1 bathroom. Part of 2-unit use.,2025-12-12,1,2,3706 1/2 OAKMONT BLVD,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13625660,3706 1/2 OAKMONT BOULEVARD,NA,Austin,Texas,United States
2211 ALLRED DR,New Construction of 2 Story SFR with 4 beds 5 baths,2025-11-13,1,2,2211 ALLRED DR,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13521462,2211 ALLRED DRIVE,NA,Austin,Texas,United States
4208 BELLVUE AVE BLDG 2,New 2-story dwelling unit 1 bed/1 bath,2025-12-12,1,2,4208 BELLVUE AVE BLDG 2,78756,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13627269,4208 BELLVUE AVE BLDG 2,NA,Austin,Texas,United States
7817 W SH 71 BLDG 7,ePlan: Expedited Review - New Construction of Multi Family Townhouse Building.,2025-12-11,2,2,7817 W SH 71 BLDG 7,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13626101,7817 WEST SH 71 BLDG 7,NA,Austin,Texas,United States
9803 RIBELIN RANCH CT BLDG 17,New construction of single building based on Volume Builder Approved (2024-067871 VB) Plan 3-AB-L. This is a 2 Story building with height of 30-9 and 3600 square feet.,2025-11-14,1,2,9803 RIBELIN RANCH CT BLDG 17,78750,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13605926,9803 RIBELIN RANCH CT BLDG 17,NA,Austin,Texas,United States
9803 RIBELIN RANCH CT BLDG 37,New construction of single building based on Volume Builder Approved (2024-067871 VB) Plan 10-CB-R. This is a 2 Story building 4 Beds 3.5 Baths with height of 31-7 and 3129 square feet.,2025-11-12,1,2,9803 RIBELIN RANCH CT BLDG 37,78750,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13604476,9803 RIBELIN RANCH CT BLDG 37,NA,Austin,Texas,United States
7004 WOODFORD WAY,New construction single-family residential 1-story 3 bedroom 2.5 bath with attached 2-car garage covered front porch and covered rear patio.,2025-12-11,1,1,7004 WOODFORD WAY,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13626478,7004 WOODFORD WAY,NA,Austin,Texas,United States
2311 WESTROCK DR BLDG 2,"ePlan: Residential Expedited Review - New TWO UNIT RES.
New construction of a 2-Story Single Family Res. [4bed 5.5bath] with Attached Garage",2025-11-21,1,2,2311 WESTROCK DR BLDG 2,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13617987,2311 WESTROCK DRIVE BLDG 2,NA,Austin,Texas,United States
5901 SILENT NOVA VW,New construction of SFR condo - 6 bedrooms 6.5 baths covered patio and porch covered front deck attached 3 car garage,2025-12-10,1,2,5901 SILENT NOVA VW,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13625732,5901 SILENT NOVA VW,NA,Austin,Texas,United States
2303 E 2ND ST--BLDG 2,2303 E 2nd St Building 2: (rearmost on Mildred side): New construction of a 3-Story Single Family Res. [3 bed 3.5bath] with Attached 1-car Garage and 3rd floor balcony. Part of 4-unit use 8 detached units total in development across 2 lots.,2025-11-17,1,3,2303 E 2ND ST BLDG 2,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13614301,2303 EAST 2ND STREET BLDG 2,NA,Austin,Texas,United States
9622 BREEZE HILL DR,New SFR 2-story 4 bedroom 3 bath with attached 2 car garage covered front porch and covered rear patio,2025-12-01,1,2,9622 BREEZE HILL DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13620481,9622 BREEZE HILL DRIVE,NA,Austin,Texas,United States
3105 MC ELROY DR,New 2-story single family residence 5 bed/4.5 bath with habitable attic attached garage covered porch covered porch and balcony,2025-12-15,1,2,3105 MC ELROY DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13625414,3105 MC ELROY DRIVE,NA,Austin,Texas,United States
5921 COVENTRY LN BLDG 101,Bldg 101: New 3-story townhome unit with 3 bedroom 3.5 bathroom covered patio attached carport.  Part of 3-unit townhome under 3-unit use.,2025-12-04,1,3,5921 COVENTRY LN BLDG 101,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13622922,5921 COVENTRY LANE BLDG 101,NA,Austin,Texas,United States
1203 VIOLA LEE LN,1203 Viola Lee Ln 2 Story Duplex with attached garage and covered porch 3/2.5,2025-11-24,1,2,1203 VIOLA LEE LN,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13617853,1203 VIOLA LEE LANE,NA,Austin,Texas,United States
4330 AIRPORT BLVD BLDG 1,BLDG 1: New construction of a 2-Story Single Family Res. [5 bed 4.5 bath] with Attached Carport. Part of 2-unit use.,2025-11-13,1,2,4330 AIRPORT BLVD BLDG 1,78722,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13614181,4330 AIRPORT BOULEVARD BLDG 1,NA,Austin,Texas,United States
906 RUTH AVE BLDG 1,"ePlan: Residential Expedited Review - New THREE UNIT RES.
New construction of a 3-Story Single Family Res. [4bed 5bath] with Attached Carport",2025-12-23,1,3,906 RUTH AVE BLDG 1,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13632242,906 RUTH AVE BLDG 1,NA,Austin,Texas,United States
805 JOHNNY LIMON WAY,"New Construction of 3 Story Duplex Condo Unit A - 2 beds 2.5 baths covered porch

(805 Johnny limon)",2025-12-29,1,2,805 JOHNNY LIMON WAY,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13478104,805 JOHNNY LIMON WAY,NA,Austin,Texas,United States
906 RUTH AVE BLDG 2,"ePlan: Residential Expedited Review - New THREE UNIT RES.
New construction of a 3-Story Single Family Res. [4bed 4.5bath] with Attached Carport",2025-12-23,1,3,906 RUTH AVE BLDG 2,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13632243,906 RUTH AVE BLDG 2,NA,Austin,Texas,United States
1605 VALERIA ST,Building 3 3 Story SFR with attached garage and covered patio,2025-12-12,1,3,1605 VALERIA ST,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13608439,1605 VALERIA STREET,NA,Austin,Texas,United States
7817 W SH 71 BLDG 5,ePlan: Expedited Review - New Construction of Multi Family Townhouse Building.,2025-12-11,3,2,7817 W SH 71 BLDG 5,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13626095,7817 WEST SH 71 BLDG 5,NA,Austin,Texas,United States
5203 1/2 AVENUE H,new constructions - construction of 2 story accessory dwelling unit rear of main house 2/2,2025-12-16,1,2,5203 1/2 AVENUE H,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13625233,5203 1/2 AVENUE H,NA,Austin,Texas,United States
4413 BANISTER LN UNIT 203,Unit 203 Bldg 2: New 3-story townhome with 3 bedroom 3.5 bathroom balcony attached 2-car carport.  Part of 3-unit townhome building in 3-unit use.  (9 units on 3 properties sharing 1-driveway utilizing a flag-lot configuration),2025-12-18,1,3,4413 BANISTER LN UNIT 203,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13628140,4413 BANISTER LANE UNIT 203,NA,Austin,Texas,United States
9216 HAMADRYAS DR,PB: New construction of 2 story SFR,2025-12-26,1,2,9216 HAMADRYAS DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13633088,9216 HAMADRYAS DRIVE,NA,Austin,Texas,United States
906 RUTH AVE BLDG 3,"ePlan: Residential Expedited Review - New THREE UNIT RES.
New construction of a 3-Story Single Family Res. [1bed 2bath]",2025-12-23,1,3,906 RUTH AVE BLDG 3,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13632244,906 RUTH AVE BLDG 3,NA,Austin,Texas,United States
1406 VARGAS RD BLDG 2,New single-story unit (1br/1ba) with attached covered patio and uncovered wood deck,2025-12-27,1,1,1406 VARGAS RD BLDG 2,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13631819,1406 VARGAS ROAD BLDG 2,NA,Austin,Texas,United States
2309 OAK CREST AVE UNIT 2B,BUILDING 2 UNIT 2B: New 3-story residence (duplex residence) with entryway going up to second floor 2nd floor kitchen & living area  2 bedroom 2.5 bath.,2025-11-12,1,3,2309 OAK CREST AVE UNIT 2B,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13607246,2309 OAK CREST AVE UNIT 2B,NA,Austin,Texas,United States
809 JOHNNY LIMON WAY,"New Construction of 3 Story Duplex Condo

(809 Johnny Limon Way)",2025-12-29,1,2,809 JOHNNY LIMON WAY,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13478303,809 JOHNNY LIMON WAY,NA,Austin,Texas,United States
1108 S 5TH ST BLDG 2,Bldg 2: New detached dwelling unit  studio w/ 1 bathroom. Tiny home. Part of 3-unit use.,2025-12-14,1,1,1108 S 5TH ST BLDG 2,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13627657,1108 SOUTH 5TH STREET BLDG 2,NA,Austin,Texas,United States
1601 VALERIA ST,Building 1 3 Story SFR with attached garage and covered patio and Deck,2025-12-11,1,3,1601 VALERIA ST,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13608437,1601 VALERIA STREET,NA,Austin,Texas,United States
2103 TOWER DR UNIT B,"ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [4bed 3.5bath]. UNIT A
ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [1bed 1bath] with attached Garage. UNIT B",2025-12-03,1,2,2103 TOWER DR UNIT B,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13622298,2103 TOWER DRIVE UNIT B,NA,Austin,Texas,United States
4604 SANTA ANNA ST BLDG 2,Bldg 2:  New construction of a 2-Story Single Family Res. [3 bed 2.5 bath] with Attached Carport.,2025-12-03,1,2,4604 SANTA ANNA ST BLDG 2,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13551751,4604 SANTA ANNA STREET BLDG 2,NA,Austin,Texas,United States
2706 ESTONIA PATH,New construction of SFR Condo with 3 beds 3.5 baths 2 car garage,2025-12-15,1,3,2706 ESTONIA PATH,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13627723,2706 ESTONIA PATH,NA,Austin,Texas,United States
5203 BALCONES DR,New construction single-family residential 2-story 4 bedroom 3.5 bath with attached 1-car carport and covered porch.,2025-11-14,1,2,5203 BALCONES DR,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13569550,5203 BALCONES DRIVE,NA,Austin,Texas,United States
2002 GREENWOOD AVE BLDG 3,Building 3 New 3 Story Single Family House with attached carport,2025-12-17,1,3,2002 GREENWOOD AVE BLDG 3,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13629127,2002 GREENWOOD AVE BLDG 3,NA,Austin,Texas,United States
4413 BANISTER LN UNIT 201,"ePlan: Residential Expedited Review - New THREE UNIT RES.
Unit 201 Bldg 2:  New 3-story townhome with 3 bedroom 3.5 bathroom balcony attached 2-car carport.  Part of 3-unit townhome building in 3-unit use.  (9 units on 3 properties sharing 1-driveway utilizing a flag-lot configuration)",2025-12-18,1,2,4413 BANISTER LN UNIT 201,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13628138,4413 BANISTER LANE UNIT 201,NA,Austin,Texas,United States
1114 1/2 LINDEN ST--BLDG 1,BLDG 1: New 2 story SFR with attached garage covered front porch and covered rear patio. 3 bedroom 2.5 bathroom.,2025-12-17,1,2,1114 1/2 LINDEN ST BLDG 1,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13629273,1114 1/2 LINDEN STREET BLDG 1,NA,Austin,Texas,United States
4603 SHOALWOOD AVE,"new construction - New 14x26 pier and beam addition to the back of the house.  Relocate overhead electric service.  New water supply and waste lines to city mains in Shoalwood Street.  New plumbing fixtures.  New roofing siding exerior doors & windows.  New interior finishes and cabinetry.  Relocate HVAC unit in attic. 


Revised: New construction on slab",2025-12-12,1,1,4603 SHOALWOOD AVE,78756,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13626920,4603 SHOALWOOD AVE,NA,Austin,Texas,United States
87 COMAL ST,ePlan: Residential Expedited Review - New construction of a 1-Story Single Family Res. [2bed 2bath],2025-11-24,1,1,87 COMAL ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13618647,87 COMAL STREET,NA,Austin,Texas,United States
908 W MARY ST,New construction two-unit use: New construction single-family residential 2-story 3 bedroom 2.5 bath with attached 3-car garage covered front porch and covered rear porch.,2025-12-11,1,2,908 W MARY ST,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13624852,908 WEST MARY STREET,NA,Austin,Texas,United States
1300 MC KIE DR UNIT 33,Unit 33 building 3.  New two story condominium townhome residence covered porch 2 bedroom 2.5 bathroom.,2025-12-10,1,2,1300 MC KIE DR UNIT 33,78752,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12351294,1300 MC KIE DRIVE UNIT 33,NA,Austin,Texas,United States
1820 W 10TH ST UNIT 2B,"New 2-Story Duplex
Bldg 2 Unit B (2nd floor) New duplex unit 2 bed/2 bath with kitchen and living room",2025-12-26,1,2,1820 W 10TH ST UNIT 2B,78703,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13547398,1820 WEST 10TH STREET UNIT 2B,NA,Austin,Texas,United States
7817 W SH 71 BLDG 4,ePlan: Expedited Review - New Construction of Multi Family Townhouse Building.,2025-12-11,3,2,7817 W SH 71 BLDG 4,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13626094,7817 WEST SH 71 BLDG 4,NA,Austin,Texas,United States
1818 W ST JOHNS AVE BLDG 2,ePlan: Residential Expedited Review - New construction of a 1-Story Single Family Res. [1bed 1bath]. BLDG 2,2025-12-15,1,1,1818 W ST JOHNS AVE BLDG 2,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13621984,1818 WEST STREET JOHNS AVE BLDG 2,NA,Austin,Texas,United States
9803 RIBELIN RANCH CT BLDG 34,New construction of single building based on Volume Builder Approved (2024-067871 VB) Plan 9-CB-L. This is a 2 Story building with height of 31-7 and 3129 square feet.,2025-12-12,1,2,9803 RIBELIN RANCH CT BLDG 34,78750,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13621117,9803 RIBELIN RANCH CT BLDG 34,NA,Austin,Texas,United States
2008 DE VERNE ST,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 4.5bath] with Habitable Attic Attached Carport.,2025-12-12,1,2,2008 DE VERNE ST,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13622768,2008 DE VERNE STREET,NA,Austin,Texas,United States
8519 DONGAN DR,New construction single-family residential 1-story 3 bedroom 2.5 bath with attached 2-car garage covered front porch and covered rear patio.,2025-12-19,1,1,8519 DONGAN DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13630696,8519 DONGAN DRIVE,NA,Austin,Texas,United States
2710 ESTONIA PATH,Site Plan Condo: Proposed construction of a 2446 sq foot single family residence with 3 bedrooms 3 1/2 bathrooms 2 car garage,2025-12-11,1,3,2710 ESTONIA PATH,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13625919,2710 ESTONIA PATH,NA,Austin,Texas,United States
9803 RIBELIN RANCH CT BLDG 27,New construction of single building based on Volume Builder Approved (2024-067871 VB) Plan 4-AB-R. This is a 2 Story building with height of 30-9 and 3600 square feet.,2025-11-12,1,2,9803 RIBELIN RANCH CT BLDG 27,78750,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13605957,9803 RIBELIN RANCH CT BLDG 27,NA,Austin,Texas,United States
6307 WEST COURTYARD DR,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 6bath] with Attached Garage,2025-11-18,1,2,6307 WEST COURTYARD DR,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609277,6307 WEST COURTYARD DRIVE,NA,Austin,Texas,United States
7817 W SH 71 BLDG 6,ePlan: Expedited Review - New Construction of Multi Family Townhouse Building.,2025-12-11,3,2,7817 W SH 71 BLDG 6,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13626096,7817 WEST SH 71 BLDG 6,NA,Austin,Texas,United States
1812 PIEDMONT AVE,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5 bed 4 bath] habitable attic & porch.,2025-12-08,1,2,1812 PIEDMONT AVE,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13619607,1812 PIEDMONT AVE,NA,Austin,Texas,United States
203 W APPLEGATE DR,New construction of 2 story SFR,2025-12-12,1,2,203 W APPLEGATE DR,78753,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13628286,203 WEST APPLEGATE DRIVE,NA,Austin,Texas,United States
