project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,"gl(n(), chunk_size, length = n())"
10121 CURB STRAP DR,PB: New construction of 1 story SFR,2025-06-27,1,1,10121 CURB STRAP DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13538737,10121 CURB STRAP DRIVE,NA,Austin,Texas,United States,1
900 S 2ND ST BLDG 2,SUBCHPTR F 3 story SFR detached Condo,2025-02-25,1,3,900 S 2ND ST BLDG 2,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12870739,900 SOUTH 2ND STREET BLDG 2,NA,Austin,Texas,United States,1
4000 CLAWSON RD,New Townhomes Building 3 Unit A-D,2024-03-18,1,3,4000 CLAWSON RD,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13297810,4000 CLAWSON ROAD,NA,Austin,Texas,United States,1
1600 WHELESS LN,New 3 bedroom 21/2 bath 2 story single family house with attached garage. MAIN STRUCTURE,2020-03-04,1,2,1600 WHELESS LN,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12325297,1600 WHELESS LANE,NA,Austin,Texas,United States,1
10136 MILLA CIR,New 2 story Contruction with att garage,2012-05-09,1,2,10136 MILLA CIR,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10764018,10136 MILLA CIR,NA,Austin,Texas,United States,1
1903 E 17TH ST,New garage apartment.,2012-05-02,2,2,1903 E 17TH ST,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10758293,1903 EAST 17TH STREET,NA,Austin,Texas,United States,1
1209 JUSTIN LN,withdrawn refer to 2008-015626  3-20-08sbenavidez...New 2-story duplex (two-family) residence detached garage covered porch and patio uncovered balcony.,2007-04-19,2,2,1209 JUSTIN LN,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=10019322,1209 JUSTIN LANE,NA,Austin,Texas,United States,1
12540 Campana Dr,New Sf Residence W/ Attached Garage  CovD Porch  CovD Patio (Smart Housing),2005-03-03,1,1,12540 CAMPANA DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=717477,12540 CAMPANA DRIVE,NA,Austin,Texas,United States,1
15996 N I 35 Svc Rd Sb Bldg 1,Modular** Model** Home On Existing Mobile Home Sales Lot,2005-08-11,NA,NA,15996 N IH 35 SVRD SB BLDG 1,78728,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=762521,15996 NORTH INTERSTATE 35 SVRD SB BLDG 1,NA,Austin,Texas,United States,1
2108 Tillery St,New Two Family Residential (Ldc 25-2774),2005-06-28,NA,NA,2108 TILLERY ST,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=721306,2108 TILLERY STREET,NA,Austin,Texas,United States,1
3105 NORTHEAST DR,"ePlan: Residential Expedited Review - New THREE UNIT RES.
Bldg 1: New construction of a 2-Story Single Family Res. [4bed 3bath] with Attached Garage. 3105 Northeast Dr.",2026-05-09,1,2,3105 NORTHEAST DR,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13588334,3105 NORTHEAST DRIVE,NA,Austin,Texas,United States,1
4900 EASTON LN,Cascade 330-T-L Is a New one-story single family residence with (3) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-06-02,1,1,4900 EASTON LN,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711496,4900 EASTON LANE,NA,Austin,Texas,United States,1
5808 VAN WINKLE LN,"Two Stry Res W/Breezway Att Gar&Covered Porch

5/22/26 Life safety inspection to occur for purposes of establishing CO.",2026-05-22,1,2,5808 VAN WINKLE LN,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=630385,5808 VAN WINKLE LANE,NA,Austin,Texas,United States,1
9512 WIGGY WAY,New construction single-family residential 1-story 4 bedroom 3 bedroom with attached 3-car garage covered front porch and covered rear patio.,2026-05-21,1,1,9512 WIGGY WAY,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13707959,9512 WIGGY WAY,NA,Austin,Texas,United States,1
1207 DWYCE DR,ePlan: Residential Expedited Review - New Construction of a 2-Story Single Family Res. [4bed 4bath] with attached garage,2026-05-15,1,2,1207 DWYCE DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704977,1207 DWYCE DRIVE,NA,Austin,Texas,United States,1
6400 LAUTNER LN,"New construction of 2 story sfr condo with 3 beds 2.5 baths and attached 2 car garage

PUD",2026-05-11,1,2,6400 LAUTNER LN,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700350,6400 LAUTNER LANE,NA,Austin,Texas,United States,1
11212 KOKO CAYUSE TRL,*PB* New construction of 2 Story SFR with attached garage and covered patio and porch 4/3,2026-05-20,1,2,11212 KOKO CAYUSE TRL,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704677,11212 KOKO CAYUSE TRAIL,NA,Austin,Texas,United States,1
7205 EAGLE ROSE RD,"New 1-story single family residence 3 bedrooms/2 bathrooms attached garage covered porch and patio

PUD",2026-05-05,1,1,7205 EAGLE ROSE RD,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13698547,7205 EAGLE ROSE ROAD,NA,Austin,Texas,United States,1
6311 ROTUNDA VW,"New construction of sfr with 3 beds 2 baths 2 car garage alley access

PUD",2026-05-24,1,1,6311 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708393,6311 ROTUNDA VW,NA,Austin,Texas,United States,1
4816 ABERDEEN DR BLDG 2,Bldg 2 New Construction of  3-Story Single Family Res. [3bed 2.5bath],2026-05-21,1,3,4816 ABERDEEN DR BLDG 2,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13707328,4816 ABERDEEN DRIVE BLDG 2,NA,Austin,Texas,United States,1
12183 WINDY RIDGE RD,New 2-story single family residence 4 bed/3.5 bath attached garage covered patio and porch water service by well and septic for WW.,2026-05-06,1,2,12183 WINDY RIDGE RD,78726,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13668818,12183 WINDY RIDGE ROAD,NA,Austin,Texas,United States,1
1708 COLLIER ST BLDG 1,Bldg 1: New construction of 3 story SFR 3 bedroom 2.5 bath w/ covered porch and patio,2026-06-03,1,3,1708 COLLIER ST BLDG 1,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708640,1708 COLLIER STREET BLDG 1,NA,Austin,Texas,United States,1
1812 MARGARET ST UNIT A,ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [4bed 4bath]. Unit A,2026-05-01,1,2,1812 MARGARET ST UNIT A,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13695853,1812 MARGARET STREET UNIT A,NA,Austin,Texas,United States,1
1508 MADISON AVE,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 4bath] with Habitable Attic and Attached Carport.,2026-05-22,1,2,1508 MADISON AVE,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13709157,1508 MADISON AVE,NA,Austin,Texas,United States,1
8000 BIRD SONG CIR,*PRODUCTION BUILDER- CONDO* - New construction of a 2-story single family dwelling in a condo regime. Duplex 3 bedroom 2.5 bath with attached garage (Unit A),2026-05-04,1,2,8000 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696875,8000 BIRD SONG CIR,NA,Austin,Texas,United States,1
9701 MURMURING CREEK DR BLDG 2,New 1-story 2 bedroom 1 bathroom dwelling unit.,2026-05-12,1,1,9701 MURMURING CREEK DR BLDG 2,78736,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13701290,9701 MURMURING CREEK DRIVE BLDG 2,NA,Austin,Texas,United States,1
13208 KEEFER DR,Randall 3314 C Right New - 2 Story SFR CONDOMINUM w/ 3 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio FFE: 681.34 Site Plan: SP-2021-0328C Site Plan Exp.: 01/09/27 Max Bld height: 30-9 Actual Bld height: 30-9 required parking: 2.,2026-05-01,1,2,13208 KEEFER DR,78652,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694452,13208 KEEFER DRIVE,NA,Austin,Texas,United States,1
9405 CORVALLIS DR,Eastland S352 B Left New - 1 Story SFR w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-05-30,1,1,9405 CORVALLIS DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711583,9405 CORVALLIS DRIVE,NA,Austin,Texas,United States,1
17110 RADIANT DR,"New construction of 1 story SFR 4 beds 2 baths

PUD",2026-05-08,1,1,17110 RADIANT DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13614971,17110 RADIANT DRIVE,NA,Austin,Texas,United States,1
8106 BIRD SONG CIR,New construction of 2 story Duplex Condo each with 3 beds 2.5 baths and attached garage (8104 and 8106 Bird Song) - Unit B,2026-04-29,1,2,8106 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694427,8106 BIRD SONG CIR,NA,Austin,Texas,United States,1
4115 AVENUE D,ePlan: Commercial Expedited Review - New Construction of FourPlex- Retroactive Permitting to work completed without permits (3585 SF),2026-05-28,4,2,4115 AVENUE D,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711280,4115 AVENUE D,NA,Austin,Texas,United States,1
7604 MULLEN DR,ePlan: Residential Expedited Review - New construction of a 1-Story Single Family Res. [5bed 4bath] with Attached Garage.,2026-05-08,1,1,7604 MULLEN DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13688433,7604 MULLEN DRIVE,NA,Austin,Texas,United States,1
8019 ERMIS FARM RD,New 2-story single family dwelling condo 4 Bed/3.5 bath with attached garage and covered patio,2026-05-04,1,2,8019 ERMIS FARM RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696939,8019 ERMIS FARM ROAD,NA,Austin,Texas,United States,1
4812 BRIDWELL LN,New single family residence with 4 bedrooms 3 bathrooms and attached garage and covered patio,2026-04-29,1,1,4812 BRIDWELL LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13693217,4812 BRIDWELL LANE,NA,Austin,Texas,United States,1
8737 BIRMINGHAM DR,new construction - new 19x14 single story closed structure that will be on pier and beam foundation. electric is needed for outlets and lights as well as a mini split system.,2026-05-19,1,1,8737 BIRMINGHAM DR,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704658,8737 BIRMINGHAM DRIVE,NA,Austin,Texas,United States,1
1704 MIRIAM AVE UNIT 1B,Unit 1B: New construction three-unit use duplex residential: Unit 1B: 3 bedroom 3 bath.,2026-05-20,1,2,1704 MIRIAM AVE UNIT 1B,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704072,1704 MIRIAM AVE UNIT 1B,NA,Austin,Texas,United States,1
4807 NATIVE PEARL LN,New single family residence - 2 story 3 bed/2.5 bath 2335 sqft living with attached garage,2026-06-02,1,2,4807 NATIVE PEARL LN,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712252,4807 NATIVE PEARL LANE,NA,Austin,Texas,United States,1
6403 ROTUNDA VW,New 2 Story SFR 4 bed 3 bath 2 care garage alley access,2026-06-03,1,2,6403 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13714290,6403 ROTUNDA VW,NA,Austin,Texas,United States,1
1801 FAIR OAKS DR UNIT A,UNIT A: New 2-story 3 bedroom 2.5 bathroom duplex residence with attached carport covered front porch and rear covered patio.,2026-05-22,1,2,1801 FAIR OAKS DR UNIT A,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708683,1801 FAIR OAKS DRIVE UNIT A,NA,Austin,Texas,United States,1
1911 PASADENA DR,ePlan: Residential Expedited Review - New Construction of 2-Story Single Family Res [5bed 4.5bath] with Habitable Attic  and attached garage,2026-05-07,1,2,1911 PASADENA DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700012,1911 PASADENA DRIVE,NA,Austin,Texas,United States,1
605 E 55TH ST BLDG 2,"*Type 2 RESIDENTIAL AFFORDABLE HOUSING DEVELOPMENT BONUS PROGRAM* 
ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [2bed 1.5bath]. Bldg 2",2026-05-11,1,2,605 E 55TH ST BLDG 2,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700453,605 EAST 55TH STREET BLDG 2,NA,Austin,Texas,United States,1
5001 PECAN SPRINGS RD BLDG 8,SP Condo: New 3 story single family residence with 3 bedrooms 3.5 baths covered patio and 2 car garage,2026-05-11,1,3,5001 PECAN SPRINGS RD BLDG 8,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700966,5001 PECAN SPRINGS ROAD BLDG 8,NA,Austin,Texas,United States,1
902 W JOHANNA ST BLDG 1,Building 1 Home: New construction of two-unit residential homes.,2026-05-08,1,2,902 W JOHANNA ST BLDG 1,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13687928,902 WEST JOHANNA STREET BLDG 1,NA,Austin,Texas,United States,1
8013 ERMIS FARM RD,PB Condo: New construction of a 2-story single family dwelling in a condo regime. 3 bedrooms 2.5 bath with attached garage,2026-05-06,1,2,8013 ERMIS FARM RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13698147,8013 ERMIS FARM ROAD,NA,Austin,Texas,United States,1
11209 GOLDEN CLOUD BND,New two-story SFR *PRODUCTION BUILDER- GREEN BUILDING*,2026-05-08,1,2,11209 GOLDEN CLOUD BND,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13699798,11209 GOLDEN CLOUD BND,NA,Austin,Texas,United States,1
14717 INCH WORM RD,New 1-story single family residence 4 bedroom 2 bath 2 car garage covered patio and porch,2026-05-11,1,2,14717 INCH WORM RD,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700115,14717 INCH WORM ROAD,NA,Austin,Texas,United States,1
13224 KINCANE DR,New 1-story 3 bedroom 2 bathroom single family residence with attached garage covered front porch and rear covered patio.,2026-05-04,1,1,13224 KINCANE DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13538372,13224 KINCANE DRIVE,NA,Austin,Texas,United States,1
8014 ERMIS FARM RD,New construction of 2 story SFR condo - 3 beds 2.5 baths attached garage covered patio,2026-05-06,1,2,8014 ERMIS FARM RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13698054,8014 ERMIS FARM ROAD,NA,Austin,Texas,United States,1
11004 MYSTIC TIMBER DR,PB: New construction of 1 story sfr - 3 beds 2 baths 2 car garage and covered patio,2026-06-02,1,1,11004 MYSTIC TIMBER DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712606,11004 MYSTIC TIMBER DRIVE,NA,Austin,Texas,United States,1
4006 MONTAGE PASS,*S.M.A.R.T. HOUSING* *GREEN BUILDING* ePlan: Residential Expedited Review - New construction of a 3-Story Townhome [3bed 3.5bath] with Attached Garage. 4206 MONTAGE PASS,2026-06-02,1,3,4006 MONTAGE PASS,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712082,4006 MONTAGE PASS,NA,Austin,Texas,United States,1
1206 MARSHALL LN,New 2-story single family residence 4 bed/4.5 bath with attached carport and covered patio,2026-05-15,1,2,1206 MARSHALL LN,78703,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696987,1206 MARSHALL LANE,NA,Austin,Texas,United States,1
605 E 55TH ST BLDG 3,"*Type 2 RESIDENTIAL AFFORDABLE HOUSING DEVELOPMENT BONUS PROGRAM* 
ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [2bed 1.5bath]. Bldg 3",2026-05-11,1,2,605 E 55TH ST BLDG 3,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700454,605 EAST 55TH STREET BLDG 3,NA,Austin,Texas,United States,1
8901 PEAFOWL ST,*Green Building* New 2-story 4 bedroom 3 bathroom single family residence with attached garage covered front porch and rear covered patio.,2026-05-14,1,2,8901 PEAFOWL ST,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13701012,8901 PEAFOWL STREET,NA,Austin,Texas,United States,1
4203 PRICKLY PEAR DR,ePlan: Residential Expedited Review - New Construction of a 2-Story Single Family Res. [4bed 3.5bath] with attached garage,2026-05-11,1,2,4203 PRICKLY PEAR DR,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13695810,4203 PRICKLY PEAR DRIVE,NA,Austin,Texas,United States,1
8705 SILVERHILL LN,ePlan: Residential Expedited Review - New Construction of 2-Story SF Res [5bed 4bath] with attached garage,2026-05-06,1,2,8705 SILVERHILL LN,78759,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13692512,8705 SILVERHILL LANE,NA,Austin,Texas,United States,1
3006 FRUTH ST BLDG 1,ePlan: Residential Expedited Review - New construction TWO Unit; Bldg 1 New construction 2-story SF Res [6bed 6bath],2026-05-22,1,2,3006 FRUTH ST BLDG 1,78705,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13706725,3006 FRUTH STREET BLDG 1,NA,Austin,Texas,United States,1
2956 HIGGINS ST BLDG 1,ePlan: Residential Expedited Review - New Two Units: Bldg 1 New Construction of  2-Story Single Family Res. [3bed 2.5bath] with attached carport,2026-06-02,1,2,2956 HIGGINS ST BLDG 1,78722,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13706813,2956 HIGGINS STREET BLDG 1,NA,Austin,Texas,United States,1
8015 ERMIS FARM RD,New construction of a 2-story single family dwelling in a condo regime. 3 bedroom 2.5 bath with attached garage,2026-05-05,1,2,8015 ERMIS FARM RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13697632,8015 ERMIS FARM ROAD,NA,Austin,Texas,United States,1
7005 FROG POND BND,*Green Building* New 2-story 4 bedroom 3 bathroom single family residence with attached garage covered front porch and rear covered patio.,2026-06-03,1,2,7005 FROG POND BND,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712936,7005 FROG POND BND,NA,Austin,Texas,United States,1
10601 BROWNIE DR BLDG 1,ePlan: Residential Expedited Review - Three Unit - Bldg 1 New Construction of  2-Story SF Res [3bed 2.5bath] w/ attached garage,2026-06-01,1,2,10601 BROWNIE DR BLDG 1,78753,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712999,10601 BROWNIE DRIVE BLDG 1,NA,Austin,Texas,United States,1
6107 CADDIE ST,New 1-story 3 bedroom 2.5 bathroom single family residence with covered porches.,2026-05-01,1,1,6107 CADDIE ST,78741,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13695740,6107 CADDIE STREET,NA,Austin,Texas,United States,1
8004 BIRD SONG CIR,New construction of 2 story Duplex Condo each with 3 beds 2.5 baths and attached garage (Unit A),2026-05-14,1,2,8004 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13702732,8004 BIRD SONG CIR,NA,Austin,Texas,United States,1
6403 ARNOLD DR,"ePlan: Residential Expedited Review - New THREE UNIT RES.
Bldg 3: New construction of a 2-Story Single Family Res. [4bed 3bath] with Attached Garage. 6403 Arnold Dr.",2026-05-09,1,2,6403 ARNOLD DR,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13588336,6403 ARNOLD DRIVE,NA,Austin,Texas,United States,1
7115 EAGLE ROSE RD,*Green Building* New 2-story 4 bedroom 3.5 bathroom single family residence with attached garage covered front porch and rear covered patio.,2026-05-28,1,2,7115 EAGLE ROSE RD,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711858,7115 EAGLE ROSE ROAD,NA,Austin,Texas,United States,1
5223 RAGWEED DR,Coolidge 1027-V-R New 2-Story Single Family Residence with (4) bedrooms (3) bathrooms Attached Garage Covered Patio & Porch Cafe & Loft,2026-05-12,1,2,5223 RAGWEED DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696192,5223 RAGWEED DRIVE,NA,Austin,Texas,United States,1
5019 WEST PARK DR,ePlan: Residential Expedited Review - New construction of a 1-Story Single Family Res. [1bed 1bath],2026-05-19,1,1,5019 WEST PARK DR,78731,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13702511,5019 WEST PARK DRIVE,NA,Austin,Texas,United States,1
8619 DONGAN DR,New two-story SFR (5br/4ba) with attached garage covered patio and covered porch *PRODUCTION BUILDER- GREEN BUILDING*,2026-04-29,1,2,8619 DONGAN DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694292,8619 DONGAN DRIVE,NA,Austin,Texas,United States,1
17244 RADIANT DR,*SMART Housing* *Green Building* New 1-story 4 bedroom 2 bathroom single family residence with covered front porch and rear covered patio.,2026-05-08,1,1,17244 RADIANT DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13619538,17244 RADIANT DRIVE,NA,Austin,Texas,United States,1
605 E 55TH ST BLDG 1,"*Type 2 RESIDENTIAL AFFORDABLE HOUSING DEVELOPMENT BONUS PROGRAM* 
ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [2bed 1.5bath]. Bldg 1",2026-05-11,1,2,605 E 55TH ST BLDG 1,78751,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700452,605 EAST 55TH STREET BLDG 1,NA,Austin,Texas,United States,1
937 E 53RD ST,BLDG 1: 3 stroy SFR with 4 bedrooms 3 bath covered patio an attached carport.,2026-06-01,1,3,937 E 53RD ST,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13608639,937 EAST 53RD STREET,NA,Austin,Texas,United States,1
