project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,"gl(n(), chunk_size, length = n())"
15500 Whistling Straits Dr,New 2-Story Sf Res. W/ Attached Garage & Covered Porch.,2001-12-21,1,2,15500 WHISTLING STRAITS DR,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=687282,15500 WHISTLING STRAITS DRIVE,NA,Austin,Texas,United States,3
12712 Cedar St Bldg 2,New 2-Story Sf Res. W/ Attached Garage Covered Patio,2001-11-29,1,2,12712 CEDAR ST BLDG 2,78732,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=686923,12712 CEDAR STREET BLDG 2,NA,Austin,Texas,United States,3
15804 Royal Ashdown Dr,New Two Story Res W/Att Garage & Covered Porch,2002-01-08,NA,2,15804 ROYAL ASHDOWN DR,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=761689,15804 ROYAL ASHDOWN DRIVE,NA,Austin,Texas,United States,3
9837 Westminster Glen Ave,To Finish New Residence Refer #00014707,2001-11-27,NA,NA,9837 WESTMINSTER GLEN AVE,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=686701,9837 WESTMINSTER GLEN AVE,NA,Austin,Texas,United States,3
6601 Back Bay Ln,Temporary Construction Trailer,2002-01-17,NA,1,6601 BACK BAY LN,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=688028,6601 BACK BAY LANE,NA,Austin,Texas,United States,3
2829 Kinney Oaks Ct,New Two Story Res W/Att Garage Covered Patio & Covered Porch,2002-01-23,NA,2,2829 KINNEY OAKS CT,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=687980,2829 KINNEY OAKS CT,NA,Austin,Texas,United States,3
3903 Balcones Dr,**ref permit#2011-010988**New 2 Story Sf Residence; Detached Gar. W/ Guest Apartment,2002-01-23,NA,2,3903 BALCONES DR,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=688096,3903 BALCONES DRIVE,NA,Austin,Texas,United States,3
2920 Garwood St,New Manufactured Home,2001-11-15,NA,1,2920 GARWOOD ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=686950,2920 GARWOOD STREET,NA,Austin,Texas,United States,3
2106 Blue Meadow Dr,New Manufactured Home W/Decks,2001-10-03,NA,1,2106 BLUE MEADOW DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=761158,2106 BLUE MEADOW DRIVE,NA,Austin,Texas,United States,3
3609 Pennsylvania Av,New Manufactured Home W Cvd Wd Deck,2001-10-31,1,1,3611 PENNSYLVANIA AVE,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=686465,3611 PENNSYLVANIA AVE,NA,Austin,Texas,United States,3
4712 Sinclair Av,New Detached Garage With 2nd Floor Apt. (Living Kitchen Bed Bath).,2001-11-08,NA,NA,4712 SINCLAIR AVE,78756,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=686601,4712 SINCLAIR AVE,NA,Austin,Texas,United States,3
8003 Forest Wood Rd,New Manufactured Home W/Wd Decks,2001-09-28,NA,NA,8003 FOREST WOOD RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=761154,8003 FOREST WOOD ROAD,NA,Austin,Texas,United States,3
9108 Spring Lake Dr,New Three Story Res W/Att Garage Workshop Covered Balcony & Covered Terrace,2001-11-09,NA,3,9108 SPRING LAKE DR,78750,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=699702,9108 SPRING LAKE DRIVE,NA,Austin,Texas,United States,3
1403 Cloverleaf Dr,Finish Out Pmt#9416434 And Add Bath & Gas Line To Convert To 2 Fam Residential,2001-10-16,NA,1,1403 CLOVERLEAF DR,78723,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=686272,1403 CLOVERLEAF DRIVE,NA,Austin,Texas,United States,3
14028 Lakeview Dr,New Three Story Res W/Att Garage Wood Deck Breezeways & Porch,2001-09-10,NA,3,14028 LAKE VIEW DR,78732,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=685448,14028 LAKE VIEW DRIVE,NA,Austin,Texas,United States,3
6808 Valburn Dr,New Two Story Res W/Att Garage Covered Patio Porch & Balconies,2001-10-19,NA,2,6808 VALBURN DR,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=686381,6808 VALBURN DRIVE,NA,Austin,Texas,United States,3
510 Atlanta St,Relocate Sf Residence To 5212 Ave H(From 510 Atlanta),2001-09-17,NA,NA,510 ATLANTA ST,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=683853,510 ATLANTA STREET,NA,Austin,Texas,United States,3
2204 E 14th St,Relocate Res. On Lot From San Marcos Tx.,2001-09-07,1,1,2204 E 14TH ST,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=685456,2204 EAST 14TH STREET,NA,Austin,Texas,United States,3
3116 Speedway,Rebuild Fire-Destroyed Detached Garage W/ 2nd Story Apartment. See Comments!!!,2001-10-25,NA,2,3116 SPEEDWAY,78705,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=686489,3116 SPEEDWAY,NA,Austin,Texas,United States,3
1719 Pasadena Dr,New Det Garage. New Driveway Approach,2001-11-13,NA,1,1719 PASADENA DR,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=685643,1719 PASADENA DRIVE,NA,Austin,Texas,United States,3
605 Tillery St,1sty Sty Addn To Create Bedrms Bath & Utility Room,2001-07-05,NA,NA,605 TILLERY ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=684031,605 TILLERY STREET,NA,Austin,Texas,United States,3
2808 Palomino Trl,New One Story Res W/Att Garage Porch & Uncovered Patio,2001-07-31,NA,1,2808 PALOMINO TRL,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=684578,2808 PALOMINO TRAIL,NA,Austin,Texas,United States,3
4524 Chesney Ridge Dr,New One Story Res W/Att Garage Covered Patio & Porch,2001-07-25,NA,1,4524 CHESNEY RIDGE DR,78749,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=684397,4524 CHESNEY RIDGE DRIVE,NA,Austin,Texas,United States,3
2017 Encino Cir,New Manufactured Home With One Wood One Concrete Deck,2001-08-01,NA,NA,2007 ENCINO CIR,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=684752,2007 ENCINO CIR,NA,Austin,Texas,United States,3
5118 Mansfield View Ct,New Two Story Res W/Att Garage Wood Deck Covered Patio & Porch,2001-07-20,NA,2,5118 MANSFIELD VIEW CT,78732,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=683754,5118 MANSFIELD VIEW CT,NA,Austin,Texas,United States,3
14733 Banbridge Trl,New Two Story Res W/Att Garage Covered Patio & Porch,2001-07-09,NA,2,14733 BANBRIDGE TRL,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=683774,14733 BANBRIDGE TRAIL,NA,Austin,Texas,United States,3
14424 Mowsbury Dr,New One Story Res W/Att Garage Covered Patio & Porch,2001-08-16,NA,1,14424 MOWSBURY DR,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=683143,14424 MOWSBURY DRIVE,NA,Austin,Texas,United States,3
1607 MORGAN LN,**ref permit#2011-079768**New Two Story Duplex W/Att Porch & Balcony,2001-07-06,2,2,1607 MORGAN LN,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=744776,1607 MORGAN LANE,NA,Austin,Texas,United States,3
2915 Padina Dr,New 2 Story Sf Residence,2001-07-05,NA,2,2915 PADINA DR,78733,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=683406,2915 PADINA DRIVE,NA,Austin,Texas,United States,3
4609 Island Cove,"VOID -  Refer to 2002-004405BP Finish Out Bldg And Elec For 2 Stry Residence  Ref#01011457
New 2-Story Sf. Res. W/ Attached Garage Breezeway Covered Patio",2001-07-17,1,2,4609 ISLAND CV,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=683908,4609 ISLAND CV,NA,Austin,Texas,United States,3
4214 Avenue D,"New One Story Res W/Att Covered Patio & Porch
*****VOIDED- construction never undertaken - replaced with 2003 011582 BP. 09/25/13 PY*********",2001-07-17,NA,1,4214 AVENUE D,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=683986,4214 AVENUE D,NA,Austin,Texas,United States,3
1611 Manana St,**ref permit#2008-062568New Two Story Res W/Att Garage Covered Patio & Porch**See Comments**,2001-08-20,NA,2,1611 MANANA ST,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=683556,1611 MANANA STREET,NA,Austin,Texas,United States,3
5216 Scottish Thistle Dr,New Two Story Res W/Att Garage Covered Patio & Porch,2001-08-15,NA,2,5216 SCOTTISH THISTLE DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=684817,5216 SCOTTISH THISTLE DRIVE,NA,Austin,Texas,United States,3
2801 Warren St,New 2sty Duplex W/Att Gar Cvd Patio-Uncvd Porch-Balcony (Attached By Breezway)Replace Existing Dw Approach,2001-08-06,2,2,2801 WARREN ST,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=684807,2801 WARREN STREET,NA,Austin,Texas,United States,3
6109 Homestead Trl,New Manufactured Home W/Decks,2001-07-24,NA,1,6109 HOMESTEAD TRL,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=684475,6109 HOMESTEAD TRAIL,NA,Austin,Texas,United States,3
5201 Bluestar Dr,Add Covered Patio,2001-07-17,NA,1,5201 BLUESTAR DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=684138,5201 BLUESTAR DRIVE,NA,Austin,Texas,United States,3
5407 Garden View Cove,Sf Residence W/Attached Garage CovD Porch & CovD Patio (S.M.A.R.T. Housing),2001-05-22,NA,1,5407 GARDEN VIEW CV,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=682684,5407 GARDEN VIEW CV,NA,Austin,Texas,United States,3
14412 Mowsbury Dr,New One Story Res W/Att Garage Covered Patio & Porch,2001-06-13,NA,1,14412 MOWSBURY DR,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=683310,14412 MOWSBURY DRIVE,NA,Austin,Texas,United States,3
13910 Skyline Dr,New Three Story Res W/Att  Wood Decks,2001-05-31,NA,3,13910 SKYLINE DR,78732,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=755948,13910 SKYLINE DRIVE,NA,Austin,Texas,United States,3
4501 Leslie Av,New One Story Res W/Att Covered Patio & Porch,2001-06-25,NA,1,4501 LESLIE AVE,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=712835,4501 LESLIE AVE,NA,Austin,Texas,United States,3
5116 Bluestar Dr,New Two Story Res W/Att Garage Breezeway & Patio,2001-05-09,NA,2,5116 BLUESTAR DR,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=682072,5116 BLUESTAR DRIVE,NA,Austin,Texas,United States,3
14501 Mowsbury Dr,New 2 Story Sf Residence,2001-06-14,NA,2,14501 MOWSBURY DR,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=682741,14501 MOWSBURY DRIVE,NA,Austin,Texas,United States,3
5817 Speyside Dr,New One Story Res W/Att Garage Covered Patio & Porch,2001-04-27,NA,1,5817 SPEYSIDE DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=682142,5817 SPEYSIDE DRIVE,NA,Austin,Texas,United States,3
110 Ainsworth St,Detached Structure (Efficiency Apt).,2001-03-22,NA,NA,110 AINSWORTH ST,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=745075,110 AINSWORTH STREET,NA,Austin,Texas,United States,3
6214 Landscape Dr,"Move Existing Mh Off Of Easement And Entirely Onto Lot 35
**Voided permit life safety permit issued refer to pmt 2009-073985BP**",2001-04-09,NA,1,6214 LANDSCAPE DR,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=681817,6214 LANDSCAPE DRIVE,NA,Austin,Texas,United States,3
3114 Cavalcade Ct,New Sf Res. 3-Story W/ Attached Garage Basement & Covered Porch,2001-04-06,NA,3,3114 CAVALCADE CT,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=681768,3114 CAVALCADE CT,NA,Austin,Texas,United States,3
3312 Elija St,New One Story Res W/Att Garage & Covered Porch,2001-03-22,NA,1,3312 ELIJA ST,78745,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=681205,3312 ELIJA STREET,NA,Austin,Texas,United States,3
2006 E 9th St,Relocate Sf Residence From Outside The City,2001-04-04,NA,NA,2006 E 9TH ST,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=681107,2006 EAST 9TH STREET,NA,Austin,Texas,United States,3
1707 Poquito St,New One Story Res W/Att Covered Porch,2001-03-30,NA,1,1707 POQUITO ST,78702,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=681008,1707 POQUITO STREET,NA,Austin,Texas,United States,3
2902 Ellon Rd,New Manufactured Home W/Wd Decks,2001-04-25,NA,1,2902 ELLON RD,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=682302,2902 ELLON ROAD,NA,Austin,Texas,United States,3
6012 Cervinus Run,New Two Story Res W/Att Garage Covered Patio & Porch,2001-05-02,NA,2,6012 CERVINUS RUN,78735,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=685007,6012 CERVINUS RUN,NA,Austin,Texas,United States,3
4508 Steed Dr,New One Story Res W/Att Garage Covered Patio & Porch,2001-04-26,NA,1,4508 STEED DR,78749,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=681482,4508 DRIVE, STEED,Austin,Texas,United States,3
4405 Canoas Dr,New Two Story Res W/Att Garage Wood Deck Covered Porch & Patio,2001-04-04,NA,2,4405 CANOAS DR,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=680864,4405 CANOAS DRIVE,NA,Austin,Texas,United States,3
4606 Adelphi La,Detached Storage Shed Rear Of Existing Sf Residence,2001-03-14,NA,1,4606 ADELPHI LN,78727,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=680990,4606 ADELPHI LANE,NA,Austin,Texas,United States,3
4601 Reyes St,Sf Res 1-Story W/ Covered Porch & Concrete Deck,2001-04-10,1,1,4601 REYES ST,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743974,4601 REYES STREET,NA,Austin,Texas,United States,3
7101 Hillcroft Dr,New One Story Res W/Att Garage & Covered Porch,2001-04-25,NA,1,7101 HILLCROFT DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=743981,7101 HILLCROFT DRIVE,NA,Austin,Texas,United States,3
2509 Indian Trl,New Two Story Res W/Att Garage Covered Patio Porch & Workshop & Guest Quarters,2001-04-03,NA,2,2509 INDIAN TRL,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=685653,2509 INDIAN TRAIL,NA,Austin,Texas,United States,3
4401 CANOAS DR,Sf Res. 2-Story W/ Attached Garage Wood Deck Covered Porch & Patio.     **refer to pmt # 2011-038083**,2001-05-03,1,2,4401 CANOAS DR,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=682466,4401 CANOAS DRIVE,NA,Austin,Texas,United States,3
13523 Wyoming Valley Dr,New One Story Res W/Att Garage Porch & Covered Patio,2001-04-04,NA,1,13523 WYOMING VALLEY DR,78727,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=682354,13523 WYOMING VALLEY DRIVE,NA,Austin,Texas,United States,3
9312 LA PUENTE DR,Sf Res. 1-Story W/ Attached Garage Covered Porch. (See 2001-009635 for repermit),2001-01-11,1,1,9312 LA PUENTE DR,78749,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=679438,9312 LA PUENTE DRIVE,NA,Austin,Texas,United States,3
3203 FAIRFAX WALK,New Two Story Res W/Att Garage & Covered Porch **refer to pmt # 09-090021**,2001-02-22,NA,2,3203 FAIRFAX WALK,78705,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=748926,3203 FAIRFAX WALK,NA,Austin,Texas,United States,3
2906 Gonzales St,New Manufactured Home W/Wd Decks,2001-03-02,NA,1,2906 GONZALES ST,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=681048,2906 GONZALES STREET,NA,Austin,Texas,United States,3
8900 Westminster Glen Av,To Finish New Residence,2001-02-15,NA,2,8900 WESTMINSTER GLEN AVE,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=680517,8900 WESTMINSTER GLEN AVE,NA,Austin,Texas,United States,3
12606 Lyndon Dr,New 2sty Sf Residence-Uncvd Terrace-Cvd Balcony-Uncvd Concrete Deck-Steel Grate Porch,2001-03-08,NA,NA,12606 LYNDON DR,78732,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=681028,12606 LYNDON DRIVE,NA,Austin,Texas,United States,3
8229 Phantom Canyon Dr,New Two Story Res W/Att Garage &  Covered Porch,2001-03-07,NA,2,8229 PHANTOM CANYON DR,78726,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=680972,8229 PHANTOM CANYON DRIVE,NA,Austin,Texas,United States,3
412 W St Elmo Rd,New Two Story Res W/Att Personal Office Wood Deck Covered Porch Personal Studio /Bedroom,2001-03-08,NA,2,412 W ST ELMO RD,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=680594,412 WEST STREET ELMO ROAD,NA,Austin,Texas,United States,3
2514 WILSON ST BLDG 2,"Detached Shop W/2nd Flr Studio
Third Party Documents Attached To Bp#05-3977i",2000-11-27,NA,2,2514 WILSON ST BLDG 2,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=678640,2514 WILSON STREET BLDG 2,NA,Austin,Texas,United States,3
9213 ASHEVILLE PLACE,New Two Story Res W/Att Garage Porch Covered Deck & Balcony,2000-11-28,NA,2,9213 ASHEVILLE PL,78749,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=678346,9213 ASHEVILLE PLACE,NA,Austin,Texas,United States,3
NA,New One Story Res W/Att Garage Porch & Covered Patio,2000-11-20,NA,1,12808 SERAFY CT,78753,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=678373,12808 SERAFY CT,NA,Austin,Texas,United States,3
5720 Bexley Ct,New Swimming Pool And Deck For Existing Single Family Residence,2000-11-02,NA,NA,5720 BEXLEY CT,78739,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=678173,5720 BEXLEY CT,NA,Austin,Texas,United States,3
NA,Sf Residence W/Attached Garage CovD Porch & UncovD Patio,2000-08-10,NA,1,12108 BARREL BND,78748,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=674806,12108 BARREL BND,NA,Austin,Texas,United States,3
NA,New Two Story Res W/Att Garage Stoop & Covered Porch,2000-08-18,NA,2,2525 LAVENDALE CT,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=675796,2525 LAVENDALE CT,NA,Austin,Texas,United States,3
2100 Rue De St Germaine,Need K Hoaglund To Look At Pud/New Two Story Res W/Att Garage Porch & Balconies,2000-06-01,NA,2,2100 RUE DE ST GERMAINE,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=674078,2100 RUE DE STREET GERMAINE,NA,Austin,Texas,United States,3
408 W  40th St,Interior Remodel And Replace Roof To Upgrade Exsting Res Accessory Building Only,2000-04-07,NA,1,408 W 40TH ST BLDG B,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=672643,408 WEST 40TH STREET BLDG B,NA,Austin,Texas,United States,3
NA,New Two Story Res W/Att Garage Porch & Covered Deck,2000-01-25,NA,2,4312 CANOAS DR,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=566467,4312 CANOAS DRIVE,NA,Austin,Texas,United States,3
2600 Buckingham Gate Ter,Two Story Residence W/Att Garage & Covered Patio,1999-12-28,NA,2,2600 BUCKINGHAM GATE TER,78748,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=670826,2600 BUCKINGHAM GATE TER,NA,Austin,Texas,United States,3
705-B Kinney Av,New Two Story Res W/Att Deck & Porch,2000-01-27,NA,2,705 KINNEY AVE BLDG B,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=670185,705 KINNEY AVE BLDG B,NA,Austin,Texas,United States,3
6316 Perlita Dr,New Detached Garage (Smart Housing),2004-09-03,NA,1,6316 PERLITA DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=712831,6316 PERLITA DRIVE,NA,Austin,Texas,United States,3
205 W Applegate Dr,Manufactured Home On Existing Foundation,2004-06-30,1,1,205 W APPLEGATE DR,78753,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=710969,205 WEST APPLEGATE DRIVE,NA,Austin,Texas,United States,3
2916 Padina Dr,New Two Story Res W/Att Garage & Covered Porch,2004-06-24,NA,2,2916 PADINA DR,78733,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=710464,2916 PADINA DRIVE,NA,Austin,Texas,United States,3
9525 Corbe Drive                   A .00000,New Two Story Res W/Att Garage Porch & Cvrd**,1999-06-18,1,2,9525 CORBE DR,78726,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=666591,9525 CORBE DRIVE,NA,Austin,Texas,United States,3
6733 Hot Springs Drive             A  00000,New 2 Stry Sf Res W/Attached Garage -- New permit # 2008-024489,1999-05-12,1,2,6733 HOT SPRINGS DR,78749,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=753118,6733 HOT SPRINGS DRIVE,NA,Austin,Texas,United States,3
2403 Kinney Rd,Refer To 2405 Kinney For Fees Inspections & Comments. This Pmt Created To Assign Utilities Only. Total Sq Ft $ Value & Coverage Calcs Shown On 2405 Kinney.,2004-06-03,2,2,2403 KINNEY RD,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=697875,2403 KINNEY ROAD,NA,Austin,Texas,United States,3
