project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,"gl(n(), chunk_size, length = n())"
14400 Mowsbury Dr,2-Story Sf Res. W/ Attached Garage Covered Porch & Patio.,2002-02-26,NA,2,14400 MOWSBURY DR,78717,6,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=688732,14400 MOWSBURY DRIVE,NA,Austin,Texas,United States,3
1401 Payton Falls Dr,Temp Construction Trailer,2002-02-01,NA,1,1401 PAYTON FALLS DR,78754,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=688366,1401 PAYTON FALLS DRIVE,NA,Austin,Texas,United States,3
5108 Eilers Ave,Detached Garage (For New Manu. Res.),2002-01-24,1,1,5108 EILERS AVE,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=687911,5108 EILERS AVE,NA,Austin,Texas,United States,3
2501 Nueces St Unit 4,New Townhome - Bldg 4,2002-02-14,1,3,2501 NUECES ST UNIT 4,78705,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=688445,2501 NUECES STREET UNIT 4,NA,Austin,Texas,United States,3
2103 Cullen Ave,New Detached 1st Sty  Gameroom W/Concrete Deck,2002-03-04,NA,1,2103 CULLEN AVE,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=689043,2103 CULLEN AVE,NA,Austin,Texas,United States,3
2501 Nueces St Unit 1,New Townhome - Bldg 1,2002-02-14,1,3,2501 NUECES ST UNIT 1,78705,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=754884,2501 NUECES STREET UNIT 1,NA,Austin,Texas,United States,3
14100 Panorama Dr,New  3sty Res W/Att Garage Wd Deck-Balconies(Max Height Allowed 35),2002-02-27,1,3,14100 PANORAMA DR,78732,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=690023,14100 PANORAMA DRIVE,NA,Austin,Texas,United States,3
4416 Canoas Dr,New 2 Story Sf Residence W/ Att. Gar. Deck CovD Porch & CovD Patio,2002-01-24,NA,2,4416 CANOAS DR,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=688052,4416 CANOAS DRIVE,NA,Austin,Texas,United States,3
2501 Nueces St Unit 3,New Townhome - Bldg 3,2002-02-14,1,3,2501 NUECES ST UNIT 3,78705,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=688444,2501 NUECES STREET UNIT 3,NA,Austin,Texas,United States,3
5906 Inter Council Cv,2-Story Sf Res. W/ Attached Garage Covered Porch Brick Pocket.,2002-02-13,NA,2,5906 INTER COUNCIL CV,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=688469,5906 INTER COUNCIL CV,NA,Austin,Texas,United States,3
