"","project_name","description","clean_address","geocodio_latitude","geocodio_longitude"
"33","7009 FROG POND BND","*Green Building* New 1-story 4 bedroom 2 bathroom single family residence with attached garage covered front porch and rear covered patio.","7009 FROG POND BND",30.157782,-97.594617
"34","2212 SARATOGA DR","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res.","2212 SARATOGA DRIVE",30.347362,-97.867007
"35","9205 CALVERT WAY","New 1-story SFR 4 bedroom 3 bath with attached 2 car garage covered entry porch and patio.","9205 CALVERT WAY",30.141846,-97.710576
"36","6904 FROG POND BND","NEW 1 STORY SINGLE-FAMILY RESIDENCE ATTACHED GARAGE COVERED PORCH AND PATIO","6904 FROG POND BND",30.157452,-97.595743
"37","4809 NATIVE PEARL LN","New single family residence - 1 story 4 bed/2 bath 1853 sqft living with attached garage","4809 NATIVE PEARL LANE",30.353385,-97.635608
"38","9803 RIBELIN RANCH CT BLDG 3","New construction of single building based on Volume Builder Approved (2024-067871 VB) Plan 9-CB-L. This is a 2 Story building with height of 31-7 and 3129 square feet.","9803 RIBELIN RANCH CT BLDG 3",30.391205,-97.828986
"39","4010 MONTAGE PASS","*S.M.A.R.T. HOUSING* *GREEN BUILDING* ePlan: Residential Expedited Review - New construction of a 3-Story Townhome [3bed 3.5bath] with Attached Garage. 4010 MONTAGE PASS","4010 MONTAGE PASS",30.31515,-97.753064
"40","4014 MONTAGE PASS","*S.M.A.R.T. HOUSING* *GREEN BUILDING* ePlan: Residential Expedited Review - New construction of a 3-Story Townhome [3bed 3.5bath] with Attached Garage. 4014 MONTAGE PASS","4014 MONTAGE PASS",30.3152,-97.752948
"41","3811 GRAYSON LN BLDG 1","Bldg. 1:  New single story SFR with 1 bedroom 1 bathroom covered front porch and uncovered wood deck.","3811 GRAYSON LANE BLDG 1",30.289703,-97.708525
"42","9803 RIBELIN RANCH CT BLDG 8","New construction of single building based on Volume Builder Approved (2024-067871 VB) Plan 6-BA-R. This is a 2 Story building with height of 33-4 and 3139 square feet.","9803 RIBELIN RANCH CT BLDG 8",30.391205,-97.828986
"43","4805 NATIVE PEARL LN","New single family residence - 2 story 4 bed/2.5 bath 2566 sqft living with attached garage","4805 NATIVE PEARL LANE",30.353561,-97.635804
"44","10601 BROWNIE DR BLDG 1","ePlan: Residential Expedited Review - Three Unit - Bldg 1 New Construction of  2-Story SF Res [3bed 2.5bath] w/ attached garage","10601 BROWNIE DRIVE BLDG 1",30.370813,-97.682099
"45","937 E 53RD ST","BLDG 1: 3 stroy SFR with 4 bedrooms 3 bath covered patio an attached carport.","937 EAST 53RD STREET",30.312996,-97.710796
"46","9708 OXBOW STRAP DR","New construction of 1 story sfr  3 beds 2 baths attached garage covered porch and patio

PUD","9708 OXBOW STRAP DRIVE",30.323638,-97.593671
"47","6308 ROTUNDA VW","New SFR 3 Bed 2.5 Bath 2 car garage alley access","6308 ROTUNDA VW",30.144079,-97.753393
"48","200 W O DELL ST BLDG 1","ePlan: Residential Expedited Review - TWO Unit; Bldg 1 New Construction of 2-Story SF Res [4bed 3.5 bath] with attached garage","200 WEST O DELL STREET BLDG 1",30.337236,-97.710592
"49","9308 FURMAN DR","Esparanza S426 B Left New - 1 Story SFR w/ 4 bedrooms 3 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.","9308 FURMAN DRIVE",30.142875,-97.735875
"50","200 W O DELL ST BLDG 2","Bldg 2 New Construction of 2-Story SF Res [5bed 3.5 bath] with attached carport","200 WEST O DELL STREET BLDG 2",30.337236,-97.710592
"51","4704 NATIVE PEARL LN","New single family residence - 2 story 3 bed/2.5 bath 2335 sqft living with attached garage","4704 NATIVE PEARL LANE",30.354577,-97.636266
"52","10601 BROWNIE DR BLDG 3","ePlan: Residential Expedited Review - Three Unit - Bldg 3 New Construction of  2-Story SF Res [3bed 2.5bath] w/ attached garage","10601 BROWNIE DRIVE BLDG 3",30.370813,-97.682099
"53","10601 BROWNIE DR BLDG 2","ePlan: Residential Expedited Review - Three Unit - Bldg 2 New Construction of  2-Story SF Res [3bed 2.5bath] w/ attached garage","10601 BROWNIE DRIVE BLDG 2",30.370813,-97.682099
"54","1504 CORSAC WAY","New SFR 2-story home w/3 or 4 bedrooms 2.5 or 3 baths opt gourmet kitchen covered entry patio and 2 car att garage.","1504 CORSAC WAY",30.40611,-97.687599
"55","9405 CORVALLIS DR","Eastland S352 B Left New - 1 Story SFR w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.","9405 CORVALLIS DRIVE",30.142384,-97.734563
"56","9305 FURMAN DR","Moscoso S423 B Right New - 1 Story SFR w/ 4 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.","9305 FURMAN DRIVE",30.14271,-97.735345
"57","9321 FURMAN DR","Pizarro S414 B Left New - 1 Story SFR w/ 4 bedrooms 3 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.","9321 FURMAN DRIVE",30.142262,-97.735659
"58","9408 CORVALLIS DR","Freestone S353 D Left New - 1 Story SFR w/ 4 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.","9408 CORVALLIS DRIVE",30.142465,-97.735065
"59","710 BOLEY DR","Galloway 3312 B Right New - 1 Story SFR CONDOMINUM w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio FFE: 682.88 Site Plan: SP-2021-0328C Site Plan Exp.: 01/09/27 Max Bld height: 21-10 Actual Bld height: 21-10 required parking: 2.","710 BOLEY DRIVE",30.115446,-97.814775
"60","9505 CORVALLIS DR","Harrison S356 B Right New - 2 Story SFR w/ 4 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.","9505 CORVALLIS DRIVE",30.141713,-97.734971
"61","9309 FURMAN DR","Boone S413 C Right New - 1 Story SFR w/ 4 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.","9309 FURMAN DRIVE",30.142601,-97.735429
"62","2816 PALOMINO TRL","New Manufactured home to be placed on vacant lot with permanent foundation standard utilities","2816 PALOMINO TRAIL",30.210099,-97.6923
"63","9601 WIGGY WAY","New construction single-family residential 1-story 4 bedroom 3 bath with attached 3-car garage covered front porch and covered patio.","9601 WIGGY WAY",30.140399,-97.707487
"64","1809 S 1ST ST","ePlan: Residential Expedited Review - New construction of a 1-Story Single Family Res. [1bed 1bath]","1809 SOUTH 1ST STREET",30.246746,-97.755955
"65","12008 SALVADOR ST","2245AR NEW 2 STORY 4 BEDROOM 2 1/2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO","12008 SALVADOR STREET",30.129056,-97.805269
"66","4702 NATIVE PEARL LN","New single family residence - 1 story 3 bed/ 2 bath 1841 sqft living with attached garage.","4702 NATIVE PEARL LANE",30.354669,-97.636372
"67","2705 BRISTOL DR BLDG 2","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 2.5bath]. Bldg 2","2705 BRISTOL DRIVE BLDG 2",30.311102,-97.679366
"68","13212 KINCANE DR","1548BL NEW 1 STORY 3 BEDROOM 2 BATH SINGLE FAMILY RESIDENTIAL HOUSE WITH ATTACHED GARAGE AND COVERED FRONT PORCH","13212 KINCANE DRIVE",30.149938,-97.628437
"69","6421 MC MURTRY ST","New Construction of a single family 1 story 4 bed 2 bath with attached garage and covered front porch/rear covered patio","6421 MC MURTRY STREET",30.141516,-97.753551
"70","2705 BRISTOL DR BLDG 1","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 3bath] with Attached Carport. Bldg 1","2705 BRISTOL DRIVE BLDG 1",30.311102,-97.679366
"71","12908 STAYWELL WAY","2458BR NEW 2 STORY 4 BEDROOM 3 1/2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO","12908 STAYWELL WAY",30.153079,-97.630112
"72","4115 AVENUE D","ePlan: Commercial Expedited Review - New Construction of FourPlex- Retroactive Permitting to work completed without permits (3585 SF)","4115 AVENUE D",30.305437,-97.731284
"73","7115 EAGLE ROSE RD","*Green Building* New 2-story 4 bedroom 3.5 bathroom single family residence with attached garage covered front porch and rear covered patio.","7115 EAGLE ROSE ROAD",30.150555,-97.730171
"74","5211 MONARDA MINT DR","Coolidge 1027-W-L New 2-Story Single Family Residence with (4) bedrooms (3) bathrooms Attached Garage Covered Patio & Porch Cafe & Loft","5211 MONARDA MINT DRIVE",30.365542,-97.624402
"75","1210 W 12TH ST","ePlan: Residential Expedited Review - New Construction of 2-Story Single Family Res [3bed 3.5bath] with Attached Carport.","1210 WEST 12TH STREET",30.278509,-97.754836
"76","13233 RIVERSDALE RD","2566CL NEW 2 STORY 4 BEDROOM 2 1/2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO","13233 RIVERSDALE ROAD",30.150342,-97.625873
"77","5222 RAGWEED DR","Coolidge 1027-W-R New 2-Story Single Family Residence with (4) bedrooms (3) bathrooms Attached Garage Covered Patio & Porch Cafe & Loft","5222 RAGWEED DRIVE",30.365615,-97.623036
"78","12316 SAINT THOMAS DR","Hughes 841-O-R Is a New one-story single-family residence with (4) bedrooms (3) bathrooms an attached two-car garage and a covered entry porch and patio.","12316 SAINT THOMAS DRIVE",30.180868,-97.619786
"79","12112 SAGRADA ST","2527BR NEW 2 STORY 4 BEDROOM 2 1/2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO","12112 SAGRADA STREET",30.129253,-97.807193
"80","12400 SAINT THOMAS DR","Callahan 830-O-R Is a New one-story single family residence with (4) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.","12400 SAINT THOMAS DRIVE",30.18078,-97.619623
"81","12022 SAGRADA ST","2245ER NEW 2 STORY 4 BEDROOM 2 1/2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO","12022 SAGRADA STREET",30.130146,-97.8065
"82","12409 SAINT THOMAS DR","Callahan 830-P-L Is a New one-story single-family residence with (4) bedrooms (2) bathrooms an attached two-car garage garage and a covered entry porch and patio.","12409 SAINT THOMAS DRIVE",30.180306,-97.61962
"83","12408 SAINT THOMAS DR","Matador 870-O-R Is a New two-story single-family residence with (4) bedrooms (2.5) bathrooms an attached two-car garage and a covered entry porch and patio.","12408 SAINT THOMAS DRIVE",30.180654,-97.61937
"84","714 BOLEY DR","Brahman 3318 C Right New - 2 Story SFR CONDOMINUM w/ 4 bedrooms 2.5 bathrooms attached 2 car garage covered entry porch and patio FFE: 683.58 Site Plan: SP-2021-0328C Site Plan Exp.: 01/09/27 Max Bld height: 29-10 Actual Bld height: 29-10 required parking: 2.","714 BOLEY DRIVE",30.115479,-97.814487
"85","3407 FOOTHILL TER BLDG 2","ePlan: Residential Expedited Review - TWO Unit- Bldg 2 New Construction of Carport with Apartment above [1bed 1.5bath]. Existing SF Res to Remain as is.","3407 FOOTHILL TER BLDG 2",30.316091,-97.769449
"86","401 RIDGEWOOD RD UNIT B","Unit B 1 Story duplex 1/1","401 RIDGEWOOD ROAD UNIT B",30.280398,-97.788788
"87","2716 BRISTOL DR BLDG 2","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 2.5bath]. Bldg 2","2716 BRISTOL DRIVE BLDG 2",30.311262,-97.678642
"88","2716 BRISTOL DR BLDG 1","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 3bath] with Attached Carport. Bldg 1","2716 BRISTOL DRIVE BLDG 1",30.311262,-97.678642
"89","6400 HUNTLEIGH WAY BLDG 2","Bldg #2 New 1-story dwelling unit container home  1 Bed/1 Bath","6400 HUNTLEIGH WAY BLDG 2",30.283054,-97.660663
"90","401 RIDGEWOOD RD UNIT A","Unit A New construction of Duplex 4 bed 4.5 baths with attached 1 bedroom 2nd unit with single bath and kitchenette","401 RIDGEWOOD ROAD UNIT A",30.280398,-97.788788
"91","6311 ROTUNDA VW","New construction of sfr with 3 beds 2 baths 2 car garage alley access

PUD","6311 ROTUNDA VW",30.144169,-97.75292
"92","1015 BRICKELL LOOP","New construction of SFR Condo with 3 beds 2.5 baths and attached 2 car garage","1015 BRICKELL LOOP",30.149836,-97.704863
"93","5808 VAN WINKLE LN","Two Stry Res W/Breezway Att Gar&Covered Porch

5/22/26 Life safety inspection to occur for purposes of establishing CO.","5808 VAN WINKLE LANE",30.194584,-97.881616
"94","1508 MADISON AVE","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 4bath] with Habitable Attic and Attached Carport.","1508 MADISON AVE",30.34488,-97.726288
"95","1801 FAIR OAKS DR UNIT A","UNIT A: New 2-story 3 bedroom 2.5 bathroom duplex residence with attached carport covered front porch and rear covered patio.","1801 FAIR OAKS DRIVE UNIT A",30.218224,-97.79336
"96","3006 FRUTH ST BLDG 1","ePlan: Residential Expedited Review - New construction TWO Unit; Bldg 1 New construction 2-story SF Res [6bed 6bath]","3006 FRUTH STREET BLDG 1",30.296609,-97.741051
"97","1608 PEASE RD UNIT B","ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [1bed 1.5bath] with attached Garage. Unit B","1608 PEASE ROAD UNIT B",30.285128,-97.758642
"98","1801 FAIR OAKS DR UNIT B","UNIT B: New 2-story 3 bedroom 2.5 bathroom duplex residence with covered front porch and rear covered patio.","1801 FAIR OAKS DRIVE UNIT B",30.218224,-97.79336
"99","3006 FRUTH ST BLDG 2","ePlan: Residential Expedited Review - New construction TWO Unit; Bldg 2 New construction 2-story SF Res [2bed 2bath]with attached carport","3006 FRUTH STREET BLDG 2",30.296609,-97.741051
