"","project_name","description","clean_address","geocodio_latitude","geocodio_longitude"
"883","5001 PECAN SPRINGS RD BLDG 31","New Condo - New 2 story single family residence with 1 car garage 3 beds 2.5 baths","5001 PECAN SPRINGS ROAD BLDG 31",30.294255,-97.681378
"884","5001 PECAN SPRINGS RD BLDG 37","New 2 story SFR with 2 car garage 25 baths 3 bedrooms and attached covered patio","5001 PECAN SPRINGS ROAD BLDG 37",30.294255,-97.681378
"885","2301 WESTWORTH CIR","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 4bath] with Habitable Attic Attached Garage.","2301 WESTWORTH CIR",30.243052,-97.78646
"886","5001 PECAN SPRINGS RD BLDG 29","New 2 story single family residence with 2 car garage covered front porch and patio","5001 PECAN SPRINGS ROAD BLDG 29",30.294255,-97.681378
"887","5001 PECAN SPRINGS RD BLDG 6","New construction of 3 story SFR Condo with 2 car garage covered patio and 2nd floor balcony","5001 PECAN SPRINGS ROAD BLDG 6",30.294255,-97.681378
"888","806 VARGAS RD","BLDG 2: New Single story SFR","806 VARGAS ROAD",30.234226,-97.693818
"889","2300 ENFIELD RD UNIT 202","Unit #202 New 3-story Duplex Condominium Residence with attached garages covered balconies. *DUPLEX CONDOMINIUM RESIDENCE*

3/30/26 SM - Per Marvin Lewis a Fire suppression system is not required for this unit per the site plan.","2300 ENFIELD ROAD UNIT 202",30.28799,-97.767294
"890","2300 ENFIELD RD UNIT 208","Unit #208 New 3-story Duplex Condominium Residence with attached garages covered balconies. *DUPLEX CONDOMINIUM RESIDENCE*","2300 ENFIELD ROAD UNIT 208",30.28799,-97.767294
"891","3112 PRADO ST--BLDG 2","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 2.5bath] with attached Carport. Bldg 2","3112 PRADO STREET BLDG 2",30.260878,-97.705113
"892","2402 KATHY CV","new 3-story SFU 4 bed 4 bath with basement storage attached garage and rear covered patio/balcony","2402 KATHY CV",30.250024,-97.789625
"893","3112 PRADO ST--BLDG 1","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 2.5bath] with Attached Garage. Bldg 1","3112 PRADO STREET BLDG 1",30.260878,-97.705113
"894","806 VARGAS RD","BLDG 1:New two-story SFR and detached single-story SFR","806 VARGAS ROAD",30.234226,-97.693818
"895","8602 CHALGRIN PL","ePlan: Residential Expedited Review - New construction of a 1-Story Single Family Res. [3 bed 3.5 bath] with  Attached 2-car Garage 3 bedroom 3.5 bathroom.","8602 CHALGRIN PLACE",30.140141,-97.712947
"896","408 CHERRY HILL DR UNIT B","new construction of * rear structure to create a 2-car garage with a studio apartment on top.","408 CHERRY HILL DRIVE UNIT B",30.228568,-97.765619
"897","2300 ENFIELD RD UNIT 302","Unit# 302 New 3-story Condominium Residence with attached garage covered porch and patio.  *CONDOMINIUM RESIDENCE","2300 ENFIELD ROAD UNIT 302",30.28799,-97.767294
"898","3401 GARDEN VILLA LN","ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [2bed 2.5bath] with attached Carport. 3401 Garden Villa Ln","3401 GARDEN VILLA LANE",30.23412,-97.770863
"899","925 CARDINAL LN","ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [2bed 2.5bath] with attached Carport. 925 Cardinal Ln","925 CARDINAL LANE",30.234172,-97.770834
"900","4611 BANISTER LN","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 4bath] with Attached Garage.","4611 BANISTER LANE",30.220925,-97.782692
"901","5109 MONARDA MINT DR","Afton 2981-HC201-L New 1-Story Single Family Residence with (4) bedrooms (2) bathrooms Attached Garage Covered Patio & Porch Cafe","5109 MONARDA MINT DRIVE",30.366468,-97.624723
"902","6305 MC MURTRY ST","New construction of a 2 story single family residence with attached garage and covered porch. 5/4.5 Reference approved PUD: C8 2018-0171.2B.SH","6305 MC MURTRY STREET",30.142948,-97.752593
"903","1308 RAMBLING ROSE RD","New construction of a 2-story single family dwelling in a condo regime. 3 Bedroom 2.5 Bath with attached 2 car garage","1308 RAMBLING ROSE ROAD",30.186199,-97.808045
"904","1500 VALLEYRIDGE DR","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 4.5bath] with Attached Carport.","1500 VALLEYRIDGE DRIVE",30.236593,-97.77606
"905","1606 WETHERSFIELD RD","New construction single-family residential 2-story 4 bedroom 3.5 bath with attached 1-car garage and covered front porch.","1606 WETHERSFIELD ROAD",30.286357,-97.762045
"906","5105 MONARDA MINT DR","Afton 2981-HC202-L New 1-Story Single Family Residence with (4) bedrooms (2) bathrooms Attached Garage Covered Patio & Porch Cafe","5105 MONARDA MINT DRIVE",30.366715,-97.624567
"907","5107 MONARDA MINT DR","Beeville 2980-HC201-L New 1-Story Single Family Residence with (3) bedrooms (2) bathrooms Attached Garage Covered Patio & Porch & Cafe","5107 MONARDA MINT DRIVE",30.366617,-97.624648
"908","9117 CORVALLIS DR","Pizarro S414 A Right New - 1 Story SFR w/ 4 bedrooms 3 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.","9117 CORVALLIS DRIVE",30.144075,-97.733487
"909","9213 DINGO DR","New single-family residence 5 bedroom/5.5 bathrooms attached garage covered patio and porch","9213 DINGO DRIVE",30.140995,-97.710721
"910","923 CARDINAL LN","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [3bed 2.5bath] with Attached Carport. 923 Cardinal Ln","923 CARDINAL LANE",30.234111,-97.770774
"911","4401 ELOHI DR","New 2-story 6 bedroom 7 bathroom (5 full 2 half) single family residence with attached garage and covered porches.","4401 ELOHI DRIVE",30.325324,-97.780319
"912","1410 PEREZ ST--BLDG 1","ePlan: Residential Expedited Review -Two Unit Res Bldg 1 New construction of a 2-Story Single Family Res. [3bed 3bath] Attached Carport","1410 PEREZ STREET BLDG 1",30.280913,-97.692593
"913","1410 PEREZ ST--BLDG 2","Bldg 2 New construction of a 2-Story Single Family Res. [3bed 2.5bath] Attached Carport","1410 PEREZ STREET BLDG 2",30.280913,-97.692593
"914","9309 DINGO DR","New construction of single-family dwelling with 4 bedrooms and 3.5 baths 3 car garage rear patio and front porch","9309 DINGO DRIVE",30.140588,-97.709882
"915","6605 ARGENTIA RD","new 3-story SFR 6 bed 5 bath with attached garage front covered porch and rear covered patio","6605 ARGENTIA ROAD",30.346721,-97.747659
"916","6201 LANDSCAPE DR","New single-story mobile home 3 bedrooms and 2 bathrooms. new driveway and sidewalk","6201 LANDSCAPE DRIVE",30.247128,-97.880359
"917","1212 ARCADIA AVE BLDG 2","New construction of 1 story tiny house (2nd unit)","1212 ARCADIA AVE BLDG 2",30.334195,-97.727621
"918","9217 DINGO DR","New 2-story single family residence 4 bedroom/3.5 bathroom with attached garage covered porch and patio","9217 DINGO DRIVE",30.140911,-97.710569
"919","4606 GILLIS ST BLDG 2","ePlan: Residential Expedited Review - New construction of a 1-Story Single Family Res. [1bed 1bath].  Bldg 2","4606 GILLIS STREET BLDG 2",30.222414,-97.785108
"920","4606 GILLIS ST BLDG 1","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 3.5bath] with Attached Garage.","4606 GILLIS STREET BLDG 1",30.222414,-97.785108
"921","8601 DONGAN DR","2 story Single Family Home with attached garage and office. 4bedroom 3 bath.","8601 DONGAN DRIVE",30.14024,-97.713883
"922","8001 MULEY DR","New Construction of a single-family residence with attached parking covered porches balconies and decks. Lower porch pool porch and sky deck are not included in the area calculations as they are either above or below other habitable areas counted for coverage","8001 MULEY DRIVE",30.414094,-97.783015
"923","2806 SAN PEDRO ST UNIT A","UNIT 101: (south unit): New 1st floor unit of triplex  3 bathroom 3 bedroom shared patio & porch w/ other units.  Part of 2-story triplex  3-unit use.","2806 SAN PEDRO STREET UNIT A",30.293978,-97.745899
"924","2806 SAN PEDRO ST UNIT B","UNIT 102: (north Unit:  New 1st floor unit of triplex 3 bathroom 3 bedroom shared patio & porch w/ other units.. Part of 2-story triplex  3-unit use.","2806 SAN PEDRO STREET UNIT B",30.293978,-97.745899
"925","2806 SAN PEDRO ST UNIT C","UNIT 201:  New 2nd floor unit of triplex 6.5 bathroom 6 bedroom patio & porch. Part of 2-story triplex  3-unit use.","2806 SAN PEDRO STREET UNIT C",30.293978,-97.745899
"926","1514 WESTOVER RD","Bldg. 2: New detached garage with 2nd story dwelling.","1514 WESTOVER ROAD",30.298606,-97.754742
"927","6001 SILENT NOVA VW","PB: New construction of 2 story SFR condo - attached 2 car garage rear extended covered patio balcony 5 bedrooms 5.5 bathrooms","6001 SILENT NOVA VW",30.383097,-97.842093
"928","1201 GEORGIAN ST","New three-story SFR (5br/4ba) with attached garage and covered porches","1201 GEORGIAN STREET",30.321108,-97.735567
"929","1314 SWEET BARK ST","1314 Sweet Bark St - New two-story duplex (3br/2.5ba/unit) with attached garages and covered patios *PRODUCTION BUILDER- CONDO*","1314 SWEET BARK STREET",30.186849,-97.808064
"930","1503 OAK HEIGHTS DR BLDG 1","ePlan: Residential Expedited Review - New TWO UNIT RES. Bldg 1 New construction of a 3-Story Single Family Res. [4bed 3.5bath] with Attached Carport and Autofill","1503 OAK HEIGHTS DRIVE BLDG 1",30.241878,-97.733399
"931","1503 OAK HEIGHTS DR BLDG 2","ePlan: Residential Expedited Review - New TWO UNIT RES. 
Bldg 2 New construction of a 3-Story SF Res [4bed 3.5bath] with attached Carport","1503 OAK HEIGHTS DRIVE BLDG 2",30.241878,-97.733399
"932","1320 SWEET BARK ST","1320 Sweet Bark - New two-story duplex (3br/2.5ba/unit) with attached garages and covered patios *PRODUCTION BUILDER-CONDO*","1320 SWEET BARK STREET",30.186837,-97.808301
"933","1322 SWEET BARK ST","1322 Sweet Bark St - New two-story duplex (3br/2.5ba/unit) with attached garages and covered patios *PRODUCTION BUILDER-CONDO*","1322 SWEET BARK STREET",30.186838,-97.808385
"934","1312 SWEET BARK ST","1312 Sweet Bark - New two-story duplex (3br/2.5ba/unit) with attached garages and covered patios *PRODUCTION BUILDER- CONDO*","1312 SWEET BARK STREET",30.186848,-97.807985
"935","1300 MC KIE DR BLDG 1","Building 1 Unit 11 New construction of a two story 4 unit condo 8 total beds 10 baths 
with attached garage    2/2.5","1300 MC KIE DRIVE BLDG 1",30.330707,-97.692469
"936","17221 ASTRAL LN","New construction single-family residential 2-story 4 bedroom 2.5 bath with attached 2-car garage covered front patio and covered rear porch.","17221 ASTRAL LANE",30.296203,-97.546421
"937","1204 DALE DR BLDG 1","New construction 3-unit use single-family residential 3-story 2 bedroom 2.5 bath with covered front entry covered side entry and 2nd story balcony.","1204 DALE DRIVE BLDG 1",30.351877,-97.717065
"938","1309 SWEET BARK ST","New construction of a 2-story single family dwelling in a condo regime. 4 BEDROOM 3.5 BATH ATTACHED GARAGE 

Revision 1: The building footprint and floor plan for this lot have been revised. The updated design is a 3-bedroom 2.5-bath residence with an attached garage. All submitted plans have been updated to reflect these changes. The revised building footprint remains within the allowable building footprint per the approved Site Plan.","1309 SWEET BARK STREET",30.186511,-97.808044
"939","12115 FENNEC WAY","New construction of 3 story SFR with 3-5 beds 2.35-4 baths recreation room covered patio 1st and 2nd floor and covered entry with 2 car attached garage","12115 FENNEC WAY",30.406082,-97.689398
"940","2805 BONNIE RD BLDG 1","BLDG 1: New construction of a 2-Story Duplex unit [5 bed 5bath] with attached 3-car garage & covered patio.","2805 BONNIE ROAD BLDG 1",30.292122,-97.773075
"941","8808 BREEZE HILL DR","*Green Building* New 2-story 3 bedroom 2.5 bathroom single family residence with attached garage covered front porch and rear covered patio.","8808 BREEZE HILL DRIVE",30.145586,-97.713634
"942","7701 HARDY DR BLDG 2","New 2-story SFR - ADU 1 bed 2 bath to rear of existing SFR and new driveway approach","7701 HARDY DRIVE BLDG 2",30.351477,-97.728507
"943","8804 BREEZE HILL DR","New SFR 2- Story 3 bedroom 2.5 bath with attached 2-car garage covered front porch and covered rear patio

PUD","8804 BREEZE HILL DRIVE",30.145807,-97.713867
"944","8607 CHALGRIN PL","*GREEN BUILDING* New construction single-family residential 1-story 3 bedroom 3.5 bath with attached 2-car garage covered front porch and covered rear patio.","8607 CHALGRIN PLACE",30.139645,-97.712222
"945","2805 BONNIE RD BLDG 2","BLDG 2:  New construction of a 2-Story Duplex unit [1 bed 1.5 bath].  Attached to the corner of the patio for Building 1","2805 BONNIE ROAD BLDG 2",30.292122,-97.773075
"946","8609 CHALGRIN PL","*Green Building* New 2-story 5 bedroom 4 bathroom single family residence with covered front porch and rear covered patio.","8609 CHALGRIN PLACE",30.13946,-97.712329
"947","711 1/2 W 28TH HALF ST","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 5bath]. 711 1/2 W 28TH HALF ST","711 1/2 WEST 28TH HALF STREET",30.295403,-97.744797
"948","1501 GARNER AVE BLDG 2","Building 2 Garage Apartment 1/1","1501 GARNER AVE BLDG 2",30.254904,-97.768611
"949","7010 STITZEL WELLER DR","PUD New SFR 2- Story 4 bedrooms 3.5 bath with attached 2-car garage covered front porch and covered rear patio","7010 STITZEL WELLER DRIVE",30.147279,-97.729177
"950","8806 BREEZE HILL DR","New SFR 2- Story 3 bedroom 2.5 bath with attached 2-car garage covered front porch and covered rear patio

PUD","8806 BREEZE HILL DRIVE",30.145809,-97.713661
"951","2821 SALADO ST","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 5bath]. 2821 SALADO ST","2821 SALADO STREET",30.29532,-97.744788
"952","8702 BASIL HAYDEN LN","New SFR 1- Story 3 bedroom 2 bath with attached 2-car garage covered front porch and covered rear patio

PUD","8702 BASIL HAYDEN LANE",30.147567,-97.730229
"953","8802 BREEZE HILL DR","*Green Building* New 2-story 3 bedroom 3 bathroom single family residence with attached garage covered front porch and covered patio.","8802 BREEZE HILL DRIVE",30.145515,-97.713885
"954","1501 GARNER AVE BLDG 1","Building 1 2870 sf 2 story single family residence. 3 Bdrm 3.5 Bath pool and spa. Detached 2 car garage with 503 sf one bedroom one bath residence on the second floor","1501 GARNER AVE BLDG 1",30.254904,-97.768611
"955","6111 LANDSCAPE DR","New mobile home","6111 LANDSCAPE DRIVE",30.247229,-97.880313
"956","2021 PAYNE AVE","New construction of a 2-Story Single Family Res. [4 bed 4bath] with Habitable Attic Attached 2 car Garage and rear porch.","2021 PAYNE AVE",30.339141,-97.737431
"957","1808 APRICOT GLEN DR","New construction of a 2-Story Single Family Res. [5 bed 5.5 bath] covered patio guest bedroom/bathroom suite attached via covered patio  attached 3-car garage.","1808 APRICOT GLEN DRIVE",30.263373,-97.803627
"958","4601 CRESTWAY DR","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 5bath] with Habitable Attic Attached Garage","4601 CRESTWAY DRIVE",30.329027,-97.769095
"959","7102 STITZEL WELLER DR","New construction of single family dwelling with 3 bedrooms and 2.5 baths 2 car garage rear patio and front porch","7102 STITZEL WELLER DRIVE",30.147381,-97.72868
"960","5907 SILENT NOVA VW","New construction of SFR Condo with 5 beds 5.5 baths covered patio covered porch and covered front deck 2nd floor balcony 3 car garage","5907 SILENT NOVA VW",30.382897,-97.84222
"961","2001 MELRIDGE PL BLDG 4","ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [4bed 3.5bath] with Attached Garage. Bldg 4","2001 MELRIDGE PLACE BLDG 4",30.25667,-97.771252
"962","2001 MELRIDGE PL BLDG 5","ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [4bed 3.5bath] with Attached Carport. Bldg 5","2001 MELRIDGE PLACE BLDG 5",30.25667,-97.771252
"963","913 CAPITOL CT BLDG 2","ePlan: Residential Expedited Review - New TWO UNIT RES.  Bldg 2 New construction of a 2-Story Single Family Res. [2bed 2.5bath] with Attached Carport","913 CAPITOL CT BLDG 2",30.319024,-97.733447
"964","2001 MELRIDGE PL BLDG 6","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 3.5bath] with Attached Carport. Bldg 6","2001 MELRIDGE PLACE BLDG 6",30.25667,-97.771252
"965","9803 RIBELIN RANCH CT BLDG 5","New construction of single building based on Volume Builder Approved (2024-067871 VB) Plan 5-BA-L. This is a 2 Story building 3 beds 3.5 baths with height of 33-4 and 3144 square feet.","9803 RIBELIN RANCH CT BLDG 5",30.391205,-97.828986
"966","5021 STOCKTON LN","Hughes 841-M-L Is a New one-story single-family residence with (4) bedrooms (3) bathrooms an attached two-car garage and a covered entry porch & patio.","5021 STOCKTON LANE",30.179231,-97.620191
"967","4415 SINCLAIR AVE","Addition and Remodel to Existing 2-Story Single Family Residence.  Remodel includes new doors  remodel of kitchen and living room new master bathroom on first floor. Addition includes 2 new bedrooms playroom and bathroom on second floor.","4415 SINCLAIR AVE",30.316168,-97.744282
"968","9803 RIBELIN RANCH CT BLDG 31","New construction of single building based on Volume Builder Approved (2024-067871 VB) Plan 4-AB-R. This is a 2 Story building 4 beds 4.5 baths with height of 30-9 and 3801 square feet.","9803 RIBELIN RANCH CT BLDG 31",30.391205,-97.828986
"969","5701 HIGHLAND HILLS DR","New construction of a 2-Story Single Family Res. [4 bed 3.5 bath] with Attached carport","5701 HIGHLAND HILLS DRIVE",30.337948,-97.75743
"970","6309 MC MURTRY ST","*SMART Housing* *Green Building* New 2-story 4 bedroom 4.5 bathroom single family residence with attached garage covered front porch and rear covered patio.","6309 MC MURTRY STREET",30.142843,-97.752612
"971","7101 WOODFORD WAY","New construction single-family residential 1-story 3 bedroom 2 bath with attached 2-car garage covered front porch and covered rear patio.","7101 WOODFORD WAY",30.14774,-97.728894
"972","4703 SANTA ANNA ST BLDG 3","ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [3bed 3.5bath] with Attached Garage. BLDG 3","4703 SANTA ANNA STREET BLDG 3",30.275051,-97.687914
"973","4703 SANTA ANNA ST BLDG 2","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [2bed 2.5bath] with Attached Carport. BLDG 2","4703 SANTA ANNA STREET BLDG 2",30.275051,-97.687914
"974","7407 BOYD HAVEN DR","*Green Building* New 2-story 4 bedroom 3.5 bathroom single family residence with covered front porch and rear covered patio.","7407 BOYD HAVEN DRIVE",30.152482,-97.710989
"975","4703 SANTA ANNA ST BLDG 1","ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [3bed 3.5bath] with Attached Carport. BLDG 1","4703 SANTA ANNA STREET BLDG 1",30.275051,-97.687914
"976","7501 BOYD HAVEN DR","*Green Building* New 2-story 3 bedroom 2.5 bathroom single family residence with covered front porch and rear covered patio.","7501 BOYD HAVEN DRIVE",30.151973,-97.71031
"977","5156 VILLAGE SQUARE DR BLDG 6","Bldg. 6 Unit B - 3bedroom 1.5 bath - New construction of 2 story 4 unit Townhome.","5156 VILLAGE SQUARE DRIVE BLDG 6",30.187483,-97.743183
"978","5156 VILLAGE SQUARE DR BLDG 6","Bldg. 6 Unit A - 3bedroom 2 bath - New construction of 2 story 4 unit Townhome.","5156 VILLAGE SQUARE DRIVE BLDG 6",30.187483,-97.743183
"979","1703 ALAMEDA DR","ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [2bed 2.5bath] with Attached Garage.","1703 ALAMEDA DRIVE",30.244055,-97.743891
"980","905 SOUTH CENTER ST","Bldg 2: New construction 3-unit use single-family residential 2-story 3 bedroom 2.5 bath with attached 1-car garage covered front porch and 2nd story balcony.","905 SOUTH CENTER STREET",30.231278,-97.771886
"981","5156 VILLAGE SQUARE DR BLDG 8","Bldg. 8 - Unit D - 3 bed 2 bath - New construction of 2 story 4 unit Townhomes","5156 VILLAGE SQUARE DRIVE BLDG 8",30.187483,-97.743183
"982","5156 VILLAGE SQUARE DR BLDG 4","Bldg. 4 Unit B - New Construction of 3 story townhome w/ 3 bedrooms and 2.5 baths.","5156 VILLAGE SQUARE DRIVE BLDG 4",30.187483,-97.743183
"983","5156 VILLAGE SQUARE DR BLDG 6","Bldg. 6 Unit D - 3bedroom 2 bath - New construction of 2 story 4 unit Townhome.","5156 VILLAGE SQUARE DRIVE BLDG 6",30.187483,-97.743183
"984","5156 VILLAGE SQUARE DR BLDG 2","Bldg. 2 Unit B - New construction of 3 story townhome unit w/ 3 bedrooms and 2.5 baths.","5156 VILLAGE SQUARE DRIVE BLDG 2",30.187483,-97.743183
"985","905 SOUTH CENTER ST","Bldg 1: New construction 3-unit use single-family residential 2-story 3 bedroom 2.5 bath with attached 1-car garage 1-car carport and covered front porch.","905 SOUTH CENTER STREET",30.231278,-97.771886
"986","5156 VILLAGE SQUARE DR BLDG 6","Bldg. 6 Unit C - 3bedroom 1.5 bath - New construction of 2 story 4 unit Townhome.","5156 VILLAGE SQUARE DRIVE BLDG 6",30.187483,-97.743183
"987","5156 VILLAGE SQUARE DR BLDG 4","Bldg. 4 Unit C - New Construction of 3 story townhome w/ 3 bedrooms and 2.5 baths.","5156 VILLAGE SQUARE DRIVE BLDG 4",30.187483,-97.743183
"988","2609 FISET DR","New construction - new single family residence with attached garage and new driveway. There is an expired permit to replace water service the scope under the expired permit will have to be wrapped up into this permit since AW required a water plan upgrade. submitting the ack of exp permits eitherway.","2609 FISET DRIVE",30.325337,-97.747759
"989","905 SOUTH CENTER ST","Bldg 3: New construction 3-unit use single-family residential 2-story 4 bedroom 3 bath with covered front porch.","905 SOUTH CENTER STREET",30.231278,-97.771886
"990","5156 VILLAGE SQUARE DR BLDG 4","Bldg. 4 Unit A - New Construction of 3 story townhome w/ 3 bedrooms and 2.5 baths.","5156 VILLAGE SQUARE DRIVE BLDG 4",30.187483,-97.743183
"991","5156 VILLAGE SQUARE DR BLDG 2","Bldg. 2 Unit A - New construction of 3 story townhome unit w/ 3 bedrooms and 2.5 baths.","5156 VILLAGE SQUARE DRIVE BLDG 2",30.187483,-97.743183
"992","5156 VILLAGE SQUARE DR BLDG 8","Bldg. 8 - Unit A - 3 bed 2 bath - New construction of 2 story 4 unit Townhomes","5156 VILLAGE SQUARE DRIVE BLDG 8",30.187483,-97.743183
"993","5156 VILLAGE SQUARE DR BLDG 2","Bldg. 2 Unit C - New construction of 3 story townhome unit w/ 3 bedrooms and 2.5 baths.","5156 VILLAGE SQUARE DRIVE BLDG 2",30.187483,-97.743183
"994","5156 VILLAGE SQUARE DR BLDG 8","Bldg. 8 - Unit B - 3 bed 1.5 bath - New construction of 2 story 4 unit Townhomes","5156 VILLAGE SQUARE DRIVE BLDG 8",30.187483,-97.743183
"995","5156 VILLAGE SQUARE DR BLDG 8","Bldg. 8 - Unit C - 3 bed 1.5 bath - New construction of 2 story 4 unit Townhomes","5156 VILLAGE SQUARE DRIVE BLDG 8",30.187483,-97.743183
"996","8901 NILGAI DR","New single-story SFR (4br/2.5ba) with attached garage covered porch and covered patio *PRODUCTION BUILDER- GREEN BUILDING*","8901 NILGAI DRIVE",30.142144,-97.709296
"997","812 SUSANA ALMANZA ST","New three-story condo duplex 4 bed 2.5 Bath with attached covered patio","812 SUSANA ALMANZA STREET",30.252837,-97.687165
"998","5103 LOTT AVE","New construction of SFR with covered 2/2","5103 LOTT AVE",30.275237,-97.683305
"999","4613 BANISTER LN","ePlan: Residential Expedited Review - New construction of a 2-story residence 5 bedroom 4 bathroom 2-car tandem garage.","4613 BANISTER LANE",30.220773,-97.782675
"1000","814 SUSANA ALMANZA ST","New three-story condo duplex 4 bed 2.5 Bath with attached covered patio","814 SUSANA ALMANZA STREET",30.252908,-97.687164
"1001","7201 WOODFORD WAY","New two-story SFR with attached garage covered porch and covered patio","7201 WOODFORD WAY",30.148152,-97.727803
"1002","1310 E APPLEGATE DR","New construction - new 2-story 4 bed room 3 bathroom single-family residence with attached 2-car garage.","1310 EAST APPLEGATE DRIVE",30.363368,-97.671017
"1003","808 SUSANA ALMANZA ST","New 2 story condo 3 Bed/3 bath attached covered porch and patio Green/Smart housing","808 SUSANA ALMANZA STREET",30.252717,-97.68726
"1004","5907 JORGE GUERRA ST","Building 5907 Jorge Guerra St New construction of a 3-story duplex as part of a larger development of 15 total buildings on a single lot.  3/3","5907 JORGE GUERRA STREET",30.252214,-97.687539
"1005","816 SUSANA ALMANZA ST","Duplex Unit#818 3-story 4 bed/2.5 bath with attached covered porch and patio","816 SUSANA ALMANZA STREET",30.253009,-97.687143
"1006","816 SUSANA ALMANZA ST","Duplex Unit #816 3-story 4 bed/2.5 bath with attached covered porch and patio","816 SUSANA ALMANZA STREET",30.253009,-97.687143
"1007","5903 JORGE GUERRA ST","New Construction two-unit residential 3-story duplex: 3 bedroom 3 bath covered front porch and covered rear porch.","5903 JORGE GUERRA STREET",30.252229,-97.687724
"1008","5905 JORGE GUERRA ST","Building 5905 Jorge Guerra St New construction of a 3-story duplex as part of a larger development of 15 total buildings on a single lot.  3/3","5905 JORGE GUERRA STREET",30.252224,-97.68763
"1009","1414 KAREN AVE BLDG 1","ePlan: Residential Expedited Review - New TWO UNIT RES 
Bldg 1 New construction of a 2-Story Single Family Res. [3bed 2.5bath] with Attached Garage","1414 KAREN AVE BLDG 1",30.337342,-97.730034
"1010","1216 ETERNITY TER","New construction of a 2 story residence with 5 bedrooms 5.5 bathrooms covered patio gym & 3-car garage.","1216 ETERNITY TER",30.285583,-97.832235
"1011","1414 KAREN AVE BLDG 2","ePlan: Residential Expedited Review - New TWO UNIT RES 
Bldg 2 New construction of a 2-Story Single Family Res. [4bed 4.5bath] with attached Carport","1414 KAREN AVE BLDG 2",30.337342,-97.730034
"1012","5901 JORGE GUERRA ST","New Construction two-unit residential 3-story duplex: 3 bedroom 3 bath covered front porch and covered rear porch.","5901 JORGE GUERRA STREET",30.252235,-97.68781
"1013","811 SUSANA ALMANZA ST","New construction of 3 story duplex condo","811 SUSANA ALMANZA STREET",30.25279,-97.687532
"1014","807 SUSANA ALMANZA ST","New construction of 2 story SFR condo.","807 SUSANA ALMANZA STREET",30.252634,-97.687568
"1015","813 SUSANA ALMANZA ST","*SMART Housing* *Green Building* New 2-story 2 bedroom 2.5 bathroom duplex condo residence with covered front porch and rear covered patio.","813 SUSANA ALMANZA STREET",30.252898,-97.68752
"1016","801 SUSANA ALMANZA ST","801 Susana Almanza St New construction of 2story duplex condo Unit B1 3/2.5","801 SUSANA ALMANZA STREET",30.252453,-97.687557
"1017","815 SUSANA ALMANZA ST","*SMART Housing* *Green Building* New 3-story 3 bedroom 2.5 bathroom duplex condo residence with covered front porch and rear covered patio.","815 SUSANA ALMANZA STREET",30.252955,-97.687511
"1018","819 SUSANA ALMANZA ST","*SMART Housing* *Green Building* New 3-story 3 bedroom 2.5 bathroom duplex condo residence with covered front porch and rear covered patio.","819 SUSANA ALMANZA STREET",30.253114,-97.687497
"1019","803 SUSANA ALMANZA ST","803 Susana Almanza St Unit C1 New 3 Story duplex 3/2.5","803 SUSANA ALMANZA STREET",30.252513,-97.687552
"1020","817 SUSANA ALMANZA ST","*SMART Housing* *Green Building* New 2-story 2 bedroom 2.5 bathroom duplex condo residence with covered front porch and rear covered patio.","817 SUSANA ALMANZA STREET",30.25305,-97.687503
"1021","815 JOHNNY LIMON WAY","New Construction of 2 Story SFR Condo","815 JOHNNY LIMON WAY",30.252968,-97.687699
"1022","809 SUSANA ALMANZA ST","New construction of 3 story duplex condo","809 SUSANA ALMANZA STREET",30.252727,-97.687539
"1023","817 JOHNNY LIMON WAY","817 New Construction of a 3 Story Duplex Condo","817 JOHNNY LIMON WAY",30.253077,-97.687696
"1024","803 JOHNNY LIMON WAY","New Construction of 3 Story Duplex Condo (3 beds 3 baths covered patio)

(803 Johnny Limon Way)","803 JOHNNY LIMON WAY",30.252538,-97.687753
"1025","805 JOHNNY LIMON WAY","New Construction of 3 Story Duplex Condo Unit A - 2 beds 2.5 baths covered porch

(805 Johnny limon)","805 JOHNNY LIMON WAY",30.25265,-97.687736
